sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769285625412447,1769285625413021,1769285625413367,1769285625413367,1769285625550108,1769285625550109,1769285625655480,1769285625655480,1769285625657997,245550,346,139828,105372,4,105371,227146,14,yolov5n,WebpLossy,T3,Letterbox
0,1,RSU-0002,Offload,1769285625412448,1769285625415800,1769285625416201,1769285625416201,1769285625655885,1769285625655885,1769285625759406,1769285625759406,1769285625762296,349848,401,245920,103521,6,103521,227146,14,yolov5n,WebpLossy,T3,Letterbox
0,1,RSU-0001,Offload,1769285625412448,1769285625413115,1769285625413484,1769285625413485,1769285625759439,1769285625759444,1769285625862079,1769285625862079,1769285625864718,452270,370,246042,102640,103218,102635,227146,14,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0000,Offload,1769285626414691,1769285626415402,1769285626415632,1769285626415632,1769285626465005,1769285626465005,1769285626568748,1769285626568749,1769285626571327,156636,230,52657,103744,5,103743,202272,13,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0001,Offload,1769285626414711,1769285626415910,1769285626416154,1769285626416155,1769285626569063,1769285626569063,1769285626671217,1769285626671217,1769285626673840,259129,245,156724,102154,6,102154,202272,13,yolov5n,WebpLossy,T3,Letterbox
1,31,RSU-0002,Offload,1769285626414712,1769285626417783,1769285626418025,1769285626418025,1769285626671249,1769285626671250,1769285626773631,1769285626773631,1769285626776048,361336,242,156645,102382,102067,102381,202272,13,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0001,Offload,1769285627416020,1769285627417279,1769285627417522,1769285627417523,1769285627475613,1769285627475613,1769285627579032,1769285627579033,1769285627581762,165742,244,62072,103420,6,103419,203548,15,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0002,Offload,1769285627416021,1769285627418932,1769285627419163,1769285627419163,1769285627579341,1769285627579341,1769285627681607,1769285627681607,1769285627684080,268059,231,165557,102266,5,102266,203548,15,yolov5n,WebpLossy,T3,Letterbox
2,61,RSU-0000,Offload,1769285627416003,1769285627417765,1769285627417992,1769285627417992,1769285627681651,1769285627681651,1769285627783570,1769285627783570,1769285627786295,370292,227,166110,101919,102036,101919,203548,15,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0000,Offload,1769285628417178,1769285628417975,1769285628418181,1769285628418181,1769285628471718,1769285628471718,1769285628575129,1769285628575130,1769285628578155,160977,206,57353,103412,6,103411,205088,16,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0001,Offload,1769285628417193,1769285628418386,1769285628418630,1769285628418630,1769285628575454,1769285628575454,1769285628677906,1769285628677906,1769285628680297,263104,244,160401,102452,7,102452,205088,16,yolov5n,WebpLossy,T3,Letterbox
3,91,RSU-0002,Offload,1769285628417194,1769285628421312,1769285628421577,1769285628421577,1769285628677936,1769285628677936,1769285628779768,1769285628779768,1769285628782388,365194,265,160778,101832,102319,101832,205088,16,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0001,Offload,1769285629418476,1769285629421544,1769285629421783,1769285629421784,1769285629476400,1769285629476400,1769285629579346,1769285629579346,1769285629582251,163775,240,60583,102946,6,102946,204350,17,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0002,Offload,1769285629418478,1769285629420626,1769285629420854,1769285629420854,1769285629579680,1769285629579680,1769285629682448,1769285629682448,1769285629685398,266920,228,163918,102768,6,102768,204350,17,yolov5n,WebpLossy,T3,Letterbox
4,121,RSU-0000,Offload,1769285629418459,1769285629419297,1769285629419522,1769285629419523,1769285629682490,1769285629682490,1769285629784802,1769285629784802,1769285629787544,369085,226,163794,102312,102753,102312,204350,17,yolov5n,WebpLossy,T3,Letterbox
5,151,RSU-0001,Offload,1769285630420655,1769285630422170,1769285630422410,1769285630422411,1769285630481779,1769285630481779,1769285630584943,1769285630584943,1769285630587585,166930,241,63519,103164,6,103164,205726,18,yolov5n,WebpLossy,T3,Letterbox
5,151,RSU-0002,Offload,1769285630420656,1769285630425003,1769285630425228,1769285630425228,1769285630585257,1769285630585257,1769285630687078,1769285630687078,1769285630689844,269188,225,167136,101821,6,101821,205726,18,yolov5n,WebpLossy,T3,Letterbox
