sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769315870097580,1769315870098646,1769315870098853,1769315870098854,1769315870126080,1769315870126081,1769315870419786,1769315870419786,1769315870421898,324318,208,30400,293706,4,293705,84671,17,yolov5s,JpgLossy,T1,HD
1,3,RSU-0002,Offload,1769315870165354,1769315870168978,1769315870169192,1769315870169192,1769315870420047,1769315870420047,1769315870724590,1769315870724590,1769315870727881,562527,214,257749,304543,21,304543,87035,19,yolov5s,JpgLossy,T1,HD
9,19,RSU-0000,Offload,1769315870709322,1769315870708009,1769315870708211,1769315870708211,1769315870724626,1769315870724626,1769315871020372,1769315871020372,1769315871022483,313161,202,15205,295746,2008,295746,76312,18,yolov5s,JpgLossy,T1,HD
8,17,RSU-0001,Offload,1769315870641690,1769315870641445,1769315870641639,1769315870641639,1769315871020402,1769315871020402,1769315871314508,1769315871314508,1769315871316494,674804,194,66502,294106,314002,294106,76138,18,yolov5s,JpgLossy,T1,HD
9,19,RSU-0002,Offload,1769315870709339,1769315870710012,1769315870710218,1769315870710218,1769315871314538,1769315871314538,1769315871610065,1769315871610066,1769315871614479,905140,206,17175,295528,592231,295527,76312,18,yolov5s,JpgLossy,T1,HD
21,43,RSU-0000,Offload,1769315871525656,1769315871527984,1769315871528188,1769315871528188,1769315871610099,1769315871610100,1769315871907281,1769315871907281,1769315871909311,383655,204,23136,297182,63133,297181,76419,20,yolov5s,JpgLossy,T1,HD
22,45,RSU-0001,Offload,1769315871593476,1769315871592226,1769315871592429,1769315871592430,1769315871907337,1769315871907337,1769315872204399,1769315872204399,1769315872206261,612785,204,16465,297062,299054,297062,76607,19,yolov5s,JpgLossy,T1,HD
21,43,RSU-0002,Offload,1769315871525673,1769315871531554,1769315871531768,1769315871531768,1769315872204432,1769315872204432,1769315872502970,1769315872502970,1769315872505318,979645,214,24767,298538,656126,298538,76419,20,yolov5s,JpgLossy,T1,HD
35,71,RSU-0000,Offload,1769315872478613,1769315872481873,1769315872482072,1769315872482073,1769315872503011,1769315872503011,1769315872803021,1769315872803021,1769315872805160,326547,200,24745,300010,1592,300010,77308,17,yolov5s,JpgLossy,T1,HD
35,71,RSU-0001,Offload,1769315872478628,1769315872477408,1769315872477605,1769315872477605,1769315872803056,1769315872803056,1769315873103987,1769315873103987,1769315873110449,631821,197,23252,300931,307441,300931,77308,17,yolov5s,JpgLossy,T1,HD
35,71,RSU-0002,Offload,1769315872478629,1769315872483510,1769315872483708,1769315872483709,1769315873104023,1769315873104023,1769315873407402,1769315873407402,1769315873409505,930876,199,18672,303379,608626,303379,77308,17,yolov5s,JpgLossy,T1,HD
48,97,RSU-0000,Offload,1769315873362167,1769315873364921,1769315873365129,1769315873365129,1769315873407439,1769315873407439,1769315873706554,1769315873706554,1769315873709237,347070,208,24483,299115,23264,299115,77452,21,yolov5s,JpgLossy,T1,HD
48,97,RSU-0001,Offload,1769315873362190,1769315873361951,1769315873362153,1769315873362153,1769315873706590,1769315873706590,1769315874010439,1769315874010439,1769315874012625,650435,202,19940,303849,326444,303849,77452,21,yolov5s,JpgLossy,T1,HD
