sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769303053925481,1769303053931436,1769303053931668,1769303053931668,1769303053970624,1769303053970625,1769303054264677,1769303054264677,1769303054263330,337849,232,43559,294053,5,294052,117204,18,yolov5s,JpgLossy,T3,FHD
0,1,RSU-0001,Offload,1769303053925481,1769303053926787,1769303053927016,1769303053927016,1769303054264887,1769303054264887,1769303054558562,1769303054558562,1769303054557403,631922,229,338011,293675,7,293675,117204,18,yolov5s,JpgLossy,T3,FHD
0,1,RSU-0002,Offload,1769303053925482,1769303053932322,1769303053932568,1769303053932568,1769303054558606,1769303054558606,1769303054851269,1769303054851270,1769303054850010,924528,246,338092,292664,293526,292663,117204,18,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0000,Offload,1769303054927727,1769303054935425,1769303054935611,1769303054935611,1769303055063570,1769303055063570,1769303055353526,1769303055353526,1769303055352031,424304,186,134156,289956,6,289956,60376,18,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0001,Offload,1769303054927745,1769303054933257,1769303054933442,1769303054933442,1769303055353691,1769303055353691,1769303055651065,1769303055651065,1769303055649489,721744,185,424179,297374,6,297374,60376,18,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0002,Offload,1769303054927746,1769303054933282,1769303054933478,1769303054933478,1769303055651104,1769303055651104,1769303055947508,1769303055947508,1769303055946009,1018263,196,424870,296404,296793,296404,60376,18,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0000,Offload,1769303055929425,1769303055936975,1769303055937160,1769303055937160,1769303055963480,1769303055963481,1769303056264685,1769303056264685,1769303056263018,333593,185,32198,301205,5,301204,61153,20,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0001,Offload,1769303055929438,1769303055932495,1769303055932685,1769303055932685,1769303056264721,1769303056264721,1769303056568484,1769303056568484,1769303056566964,637526,190,34135,303763,299438,303763,61153,20,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0002,Offload,1769303055929439,1769303055936949,1769303055937144,1769303055937144,1769303056568514,1769303056568514,1769303056872744,1769303056872744,1769303056871101,941662,195,33911,304230,603326,304230,61153,20,yolov5s,JpgLossy,T3,FHD
3,91,RSU-0000,Offload,1769303056930778,1769303056938676,1769303056938835,1769303056938835,1769303056958768,1769303056958768,1769303057249867,1769303057249867,1769303057248251,317473,159,26209,291099,6,291099,61707,18,yolov5s,JpgLossy,T3,FHD
