sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769307048590640,1769307048595391,1769307048595516,1769307048595516,1769307048689844,1769307048689844,1769307048960777,1769307048960777,1769307048963075,372435,125,101372,270933,5,270933,20824,15,yolov5s,JpgLossy,T3,Letterbox
1,7,RSU-0000,Offload,1769307048792533,1769307048798486,1769307048798633,1769307048798633,1769307048960815,1769307048960815,1769307049229111,1769307049229111,1769307049231516,438983,147,96460,268296,74080,268296,20664,15,yolov5s,JpgLossy,T3,Letterbox
1,7,RSU-0001,Offload,1769307048792545,1769307048795843,1769307048795992,1769307048795993,1769307049229138,1769307049229139,1769307049497423,1769307049497423,1769307049499616,707071,150,96442,268285,342194,268284,20664,15,yolov5s,JpgLossy,T3,Letterbox
1,7,RSU-0002,Offload,1769307048792545,1769307048797358,1769307048797524,1769307048797524,1769307049497456,1769307049497456,1769307049775969,1769307049775970,1769307049778387,985842,166,96055,278514,611107,278513,20664,15,yolov5s,JpgLossy,T3,Letterbox
5,31,RSU-0000,Offload,1769307049598290,1769307049604772,1769307049604891,1769307049604892,1769307049776013,1769307049776013,1769307050056019,1769307050056019,1769307050058340,460050,120,110199,280006,69725,280006,20086,15,yolov5s,JpgLossy,T3,Letterbox
5,31,RSU-0001,Offload,1769307049598303,1769307049601800,1769307049601933,1769307049601933,1769307050056053,1769307050056053,1769307050336571,1769307050336571,1769307050338775,740472,133,110111,280518,349710,280518,20086,15,yolov5s,JpgLossy,T3,Letterbox
5,31,RSU-0002,Offload,1769307049598304,1769307049604129,1769307049604249,1769307049604249,1769307050336610,1769307050336610,1769307050615938,1769307050615939,1769307050618279,1019975,120,109898,279329,630628,279328,20086,15,yolov5s,JpgLossy,T3,Letterbox
9,55,RSU-0000,Offload,1769307050404326,1769307050411000,1769307050411134,1769307050411134,1769307050615978,1769307050615979,1769307050896136,1769307050896136,1769307050898481,494155,134,13677,280158,200186,280157,20356,15,yolov5s,JpgLossy,T3,Letterbox
9,55,RSU-0001,Offload,1769307050404342,1769307050407681,1769307050407823,1769307050407823,1769307050896169,1769307050896170,1769307051175780,1769307051175780,1769307051178097,773755,142,14008,279611,479994,279610,20356,15,yolov5s,JpgLossy,T3,Letterbox
9,55,RSU-0002,Offload,1769307050404343,1769307050409015,1769307050409160,1769307050409160,1769307051175813,1769307051175813,1769307051455917,1769307051455917,1769307051458102,1053759,145,9870,280104,763640,280104,20356,15,yolov5s,JpgLossy,T3,Letterbox
14,85,RSU-0000,Offload,1769307051410255,1769307051415925,1769307051416060,1769307051416060,1769307051455953,1769307051455953,1769307051736395,1769307051736395,1769307051738642,328387,135,16818,280442,30992,280442,20446,17,yolov5s,JpgLossy,T3,Letterbox
14,85,RSU-0001,Offload,1769307051410267,1769307051413439,1769307051413586,1769307051413587,1769307051736429,1769307051736429,1769307052016261,1769307052016261,1769307052019171,608904,148,13475,279832,315449,279832,20446,17,yolov5s,JpgLossy,T3,Letterbox
14,85,RSU-0002,Offload,1769307051410268,1769307051415674,1769307051415805,1769307051415805,1769307052016296,1769307052016296,1769307052296436,1769307052296436,1769307052298648,888380,131,17032,280140,591077,280140,20446,17,yolov5s,JpgLossy,T3,Letterbox
18,109,RSU-0000,Offload,1769307052214863,1769307052221535,1769307052221667,1769307052221668,1769307052296483,1769307052296484,1769307052576113,1769307052576113,1769307052578273,363410,133,15803,279630,67844,279629,20605,16,yolov5s,JpgLossy,T3,Letterbox
18,109,RSU-0001,Offload,1769307052214877,1769307052216391,1769307052216519,1769307052216519,1769307052576148,1769307052576148,1769307052856854,1769307052856854,1769307052859056,644179,128,16138,280706,347207,280706,20605,16,yolov5s,JpgLossy,T3,Letterbox
18,109,RSU-0002,Offload,1769307052214878,1769307052221700,1769307052221829,1769307052221829,1769307052856888,1769307052856888,1769307053135954,1769307053135954,1769307053138249,923371,129,16148,279066,628028,279066,20605,16,yolov5s,JpgLossy,T3,Letterbox
22,133,RSU-0000,Offload,1769307053020652,1769307053028609,1769307053028754,1769307053028754,1769307053135997,1769307053135997,1769307053415978,1769307053415979,1769307053418248,397596,145,15525,279982,101944,279981,20575,19,yolov5s,JpgLossy,T3,Letterbox
22,133,RSU-0001,Offload,1769307053020668,1769307053022169,1769307053022305,1769307053022305,1769307053416014,1769307053416015,1769307053696579,1769307053696579,1769307053698652,677984,136,15173,280565,382110,280564,20575,19,yolov5s,JpgLossy,T3,Letterbox
22,133,RSU-0002,Offload,1769307053020669,1769307053026392,1769307053026528,1769307053026528,1769307053696614,1769307053696615,1769307053976972,1769307053976973,1769307053979444,958775,136,15152,280359,663128,280357,20575,19,yolov5s,JpgLossy,T3,Letterbox
26,157,RSU-0000,Offload,1769307053827549,1769307053833189,1769307053833329,1769307053833329,1769307053977011,1769307053977011,1769307054258045,1769307054258045,1769307054260568,433019,140,13583,281034,138262,281034,20548,18,yolov5s,JpgLossy,T3,Letterbox
26,157,RSU-0001,Offload,1769307053827565,1769307053829725,1769307053829861,1769307053829861,1769307054258077,1769307054258077,1769307054538295,1769307054538296,1769307054540608,713043,136,12948,280219,419740,280218,20548,18,yolov5s,JpgLossy,T3,Letterbox
26,157,RSU-0002,Offload,1769307053827566,1769307053834455,1769307053834587,1769307053834587,1769307054538331,1769307054538331,1769307054820146,1769307054820146,1769307054824046,996480,132,17099,281815,697434,281815,20548,18,yolov5s,JpgLossy,T3,Letterbox
30,181,RSU-0000,Offload,1769307054631921,1769307054638431,1769307054638560,1769307054638560,1769307054820191,1769307054820191,1769307055101240,1769307055101240,1769307055103630,471709,129,14971,281049,175560,281049,20392,18,yolov5s,JpgLossy,T3,Letterbox
30,181,RSU-0001,Offload,1769307054631939,1769307054633315,1769307054633444,1769307054633444,1769307055101274,1769307055101275,1769307055382268,1769307055382268,1769307055384652,752713,129,10874,280994,460716,280993,20392,18,yolov5s,JpgLossy,T3,Letterbox
30,181,RSU-0002,Offload,1769307054631941,1769307054638556,1769307054638664,1769307054638664,1769307055382298,1769307055382298,1769307055663508,1769307055663508,1769307055665790,1033849,108,15142,281210,737389,281210,20392,18,yolov5s,JpgLossy,T3,Letterbox
