sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769304676368459,1769304676371054,1769304676372179,1769304676372180,1769304676652767,1769304676652767,1769304676960612,1769304676960612,1769304676963051,594592,1126,285613,307845,8,307845,1321370,17,yolov5s,PngLossless,T1,FHD
0,1,RSU-0000,Offload,1769304676368458,1769304676373108,1769304676374171,1769304676374172,1769304676962258,1769304676962259,1769304677274294,1769304677274294,1769304677277033,908575,1064,595468,312036,7,312035,1321370,17,yolov5s,PngLossless,T1,FHD
0,1,RSU-0002,Offload,1769304676368459,1769304676371053,1769304676372193,1769304676372194,1769304677274333,1769304677274334,1769304677587305,1769304677587305,1769304677606030,1237571,1141,690058,312972,233400,312971,1321370,17,yolov5s,PngLossless,T1,FHD
1,31,RSU-0001,Offload,1769304677369867,1769304677372047,1769304677372766,1769304677372767,1769304677633296,1769304677633296,1769304677931716,1769304677931717,1769304677935483,565616,720,266468,298421,7,298420,789208,19,yolov5s,PngLossless,T1,FHD
1,31,RSU-0002,Offload,1769304677369868,1769304677377267,1769304677378083,1769304677378083,1769304677933039,1769304677933039,1769304678227759,1769304678227759,1769304678230363,860495,816,564951,294720,8,294720,789208,19,yolov5s,PngLossless,T1,FHD
1,31,RSU-0000,Offload,1769304677369848,1769304677375232,1769304677376010,1769304677376010,1769304678227798,1769304678227798,1769304678546313,1769304678546313,1769304678548586,1178738,778,564797,318515,294648,318515,789208,19,yolov5s,PngLossless,T1,FHD
2,61,RSU-0000,Offload,1769304678371144,1769304678377470,1769304678378144,1769304678378144,1769304678546354,1769304678546354,1769304678846326,1769304678846326,1769304678848836,477692,674,174718,299972,2328,299972,802335,20,yolov5s,PngLossless,T1,FHD
2,61,RSU-0001,Offload,1769304678371161,1769304678373913,1769304678374576,1769304678374576,1769304678846363,1769304678846363,1769304679150369,1769304679150369,1769304679153243,782082,663,199034,304006,278379,304006,802335,20,yolov5s,PngLossless,T1,FHD
2,61,RSU-0002,Offload,1769304678371162,1769304678376140,1769304678376813,1769304678376813,1769304679150406,1769304679150406,1769304679465158,1769304679465158,1769304679470260,1099098,673,197333,314752,586340,314752,802335,20,yolov5s,PngLossless,T1,FHD
3,91,RSU-0000,Offload,1769304679372024,1769304679376177,1769304679376870,1769304679376871,1769304679551305,1769304679551305,1769304679847200,1769304679847200,1769304679849570,477546,694,180950,295895,7,295895,811791,22,yolov5s,PngLossless,T1,FHD
3,91,RSU-0002,Offload,1769304679372043,1769304679378966,1769304679379654,1769304679379655,1769304679848367,1769304679848367,1769304680145611,1769304680145612,1769304680148102,776059,689,478116,297245,9,297244,811791,22,yolov5s,PngLossless,T1,FHD
3,91,RSU-0001,Offload,1769304679372042,1769304679374660,1769304679375430,1769304679375430,1769304680145670,1769304680145670,1769304680479223,1769304680479223,1769304680482120,1110078,770,478634,333553,297121,333553,811791,22,yolov5s,PngLossless,T1,FHD
4,121,RSU-0001,Offload,1769304680372948,1769304680374823,1769304680375488,1769304680375489,1769304680537363,1769304680537363,1769304680834571,1769304680834571,1769304680837272,464324,666,166441,297208,9,297208,814761,20,yolov5s,PngLossless,T1,FHD
4,121,RSU-0000,Offload,1769304680372928,1769304680378988,1769304680379645,1769304680379645,1769304680835623,1769304680835623,1769304681135018,1769304681135019,1769304681137492,764564,657,464503,299396,8,299395,814761,20,yolov5s,PngLossless,T1,FHD
4,121,RSU-0002,Offload,1769304680372949,1769304680378696,1769304680379378,1769304680379378,1769304681135061,1769304681135061,1769304681456157,1769304681456157,1769304681459867,1086918,682,466116,321096,299024,321096,814761,20,yolov5s,PngLossless,T1,FHD
