sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769318806949794,1769318806956522,1769318806956853,1769318806956853,1769318807193938,1769318807193938,1769318807476799,1769318807476799,1769318807479377,529583,331,246356,282861,35,282861,284818,17,yolov5s,PngLossless,T1,Letterbox
1,3,RSU-0000,Offload,1769318807018362,1769318807032618,1769318807032932,1769318807032932,1769318807477723,1769318807477723,1769318807772481,1769318807772481,1769318807774722,756360,314,461197,294758,91,294758,296754,16,yolov5s,PngLossless,T1,Letterbox
1,3,RSU-0002,Offload,1769318807018378,1769318807023014,1769318807023383,1769318807023383,1769318807772541,1769318807772541,1769318808073935,1769318808073935,1769318808080358,1061980,369,465283,301394,294934,301394,296754,16,yolov5s,PngLossless,T1,Letterbox
10,21,RSU-0000,Offload,1769318807630251,1769318807648060,1769318807648385,1769318807648385,1769318808073967,1769318808073967,1769318808378611,1769318808378611,1769318808382907,752656,325,431957,304644,15730,304644,260206,18,yolov5s,PngLossless,T1,Letterbox
10,21,RSU-0001,Offload,1769318807630263,1769318807632554,1769318807632864,1769318807632864,1769318808378650,1769318808378650,1769318808684151,1769318808684151,1769318808689065,1058802,310,396969,305501,356022,305501,260206,18,yolov5s,PngLossless,T1,Letterbox
12,25,RSU-0002,Offload,1769318807766476,1769318807772951,1769318807773288,1769318807773288,1769318808684208,1769318808684209,1769318808987939,1769318808987939,1769318808999327,1232851,337,312678,303731,616105,303730,256803,18,yolov5s,PngLossless,T1,Letterbox
27,55,RSU-0000,Offload,1769318808786734,1769318808799883,1769318808800208,1769318808800208,1769318808987981,1769318808987981,1769318809293058,1769318809293058,1769318809315868,529134,325,202196,305077,21536,305077,262458,18,yolov5s,PngLossless,T1,Letterbox
28,57,RSU-0001,Offload,1769318808855421,1769318808848778,1769318808849238,1769318808849239,1769318809293085,1769318809293085,1769318809594521,1769318809594521,1769318809595571,740150,461,94269,301436,343984,301436,259938,18,yolov5s,PngLossless,T1,Letterbox
29,59,RSU-0002,Offload,1769318808923259,1769318808934717,1769318808935045,1769318808935046,1769318809594551,1769318809594551,1769318809894133,1769318809894133,1769318809910141,986882,329,73551,299582,613420,299582,262299,18,yolov5s,PngLossless,T1,Letterbox
42,85,RSU-0000,Offload,1769318809805661,1769318809816851,1769318809817180,1769318809817180,1769318809894164,1769318809894164,1769318810193503,1769318810193503,1769318810198732,393071,329,56733,299339,36670,299339,264919,20,yolov5s,PngLossless,T1,Letterbox
42,85,RSU-0001,Offload,1769318809805677,1769318809798047,1769318809798348,1769318809798348,1769318810193536,1769318810193536,1769318810490546,1769318810490546,1769318810492104,686427,301,50343,297010,338773,297010,264919,20,yolov5s,PngLossless,T1,Letterbox
42,85,RSU-0002,Offload,1769318809805678,1769318809806725,1769318809807066,1769318809807066,1769318810490575,1769318810490575,1769318810792792,1769318810792792,1769318810807996,1002318,341,66024,302217,633736,302217,264919,20,yolov5s,PngLossless,T1,Letterbox
55,111,RSU-0000,Offload,1769318810688073,1769318810698986,1769318810699323,1769318810699323,1769318810792830,1769318810792830,1769318811094030,1769318811094030,1769318811095143,407070,337,54294,301200,51239,301200,266412,19,yolov5s,PngLossless,T1,Letterbox
55,111,RSU-0001,Offload,1769318810688088,1769318810681103,1769318810681445,1769318810681446,1769318811094060,1769318811094060,1769318811397273,1769318811397273,1769318811427065,738977,343,71770,303213,363651,303213,266412,19,yolov5s,PngLossless,T1,Letterbox
55,111,RSU-0002,Offload,1769318810688088,1769318810689408,1769318810689766,1769318810689766,1769318811397300,1769318811397300,1769318811697038,1769318811697038,1769318811698241,1010153,358,44553,299738,665504,299738,266412,19,yolov5s,PngLossless,T1,Letterbox
68,137,RSU-0000,Offload,1769318811570579,1769318811582402,1769318811582721,1769318811582722,1769318811697076,1769318811697077,1769318811996534,1769318811996534,1769318811998308,427729,320,45767,299458,82184,299457,263658,19,yolov5s,PngLossless,T1,Letterbox
69,139,RSU-0001,Offload,1769318811638099,1769318811630497,1769318811630814,1769318811630814,1769318811996562,1769318811996563,1769318812305030,1769318812305030,1769318812307158,669059,317,45548,308468,314726,308467,265168,18,yolov5s,PngLossless,T1,Letterbox
69,139,RSU-0002,Offload,1769318811638100,1769318811639538,1769318811639882,1769318811639882,1769318812305149,1769318812305149,1769318812611803,1769318812611803,1769318812624399,986299,344,59435,306654,619866,306654,265168,18,yolov5s,PngLossless,T1,Letterbox
