sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0001,Offload,1769313480687240,1769313480690080,1769313480690825,1769313480690825,1769313480878105,1769313480878105,1769313481172798,1769313481172798,1769313481171248,484008,745,188450,294693,120,294693,860853,17,yolov5s,PngLossless,T2,HD
0,1,RSU-0000,Offload,1769313480687239,1769313480689849,1769313480690598,1769313480690599,1769313481174627,1769313481174628,1769313481504296,1769313481504296,1769313481502912,815673,750,485132,329669,122,329668,860853,17,yolov5s,PngLossless,T2,HD
0,1,RSU-0002,Offload,1769313480687240,1769313480694475,1769313480695153,1769313480695154,1769313481504326,1769313481504326,1769313481832003,1769313481832003,1769313481840949,1153709,679,495423,327677,329930,327677,860853,17,yolov5s,PngLossless,T2,HD
3,10,RSU-0000,Offload,1769313480990986,1769313480995127,1769313480995918,1769313480995919,1769313481832039,1769313481832039,1769313482157301,1769313482157301,1769313482205749,1214763,792,867436,325262,21273,325262,670510,19,yolov5s,PngLossless,T2,HD
3,10,RSU-0001,Offload,1769313480991002,1769313480993986,1769313480994472,1769313480994472,1769313482157332,1769313482157332,1769313482483368,1769313482483368,1769313482550087,1559085,486,902528,326036,330035,326036,670510,19,yolov5s,PngLossless,T2,HD
5,16,RSU-0002,Offload,1769313481193910,1769313481199191,1769313481199747,1769313481199747,1769313482483395,1769313482483395,1769313482809164,1769313482809164,1769313482882313,1688403,556,647328,325769,714750,325769,641346,18,yolov5s,PngLossless,T2,HD
11,34,RSU-0000,Offload,1769313481803980,1769313481815840,1769313481816475,1769313481816475,1769313482809199,1769313482809199,1769313483133546,1769313483133546,1769313483183899,1379919,635,1022804,324347,32133,324347,637259,20,yolov5s,PngLossless,T2,HD
7,22,RSU-0001,Offload,1769313481397665,1769313481401110,1769313481401762,1769313481401763,1769313483133578,1769313483133578,1769313483457737,1769313483457738,1769313483557085,2159420,653,1392182,324160,442425,324159,636936,18,yolov5s,PngLossless,T2,HD
16,49,RSU-0002,Offload,1769313482311995,1769313482321780,1769313482322361,1769313482322361,1769313483457766,1769313483457767,1769313483779815,1769313483779815,1769313483825746,1513751,581,439925,322049,751196,322048,641152,19,yolov5s,PngLossless,T2,HD
17,52,RSU-0000,Offload,1769313482412986,1769313482433701,1769313482434311,1769313482434311,1769313483779863,1769313483779863,1769313484101541,1769313484101541,1769313484194380,1781394,610,1290597,321678,168509,321678,643227,19,yolov5s,PngLossless,T2,HD
13,40,RSU-0001,Offload,1769313482007520,1769313482015921,1769313482016468,1769313482016468,1769313484101571,1769313484101571,1769313484426021,1769313484426021,1769313484584455,2576935,547,1845394,324450,406544,324450,640192,18,yolov5s,PngLossless,T2,HD
26,79,RSU-0002,Offload,1769313483325295,1769313483337647,1769313483338279,1769313483338279,1769313484426051,1769313484426051,1769313484752041,1769313484752041,1769313484819410,1494115,632,402643,325990,764850,325990,647903,19,yolov5s,PngLossless,T2,HD
23,70,RSU-0000,Offload,1769313483021251,1769313483034362,1769313483034953,1769313483034953,1769313484752072,1769313484752072,1769313485061424,1769313485061424,1769313485064181,2042930,591,1556326,309352,176661,309352,646444,17,yolov5s,PngLossless,T2,HD
20,61,RSU-0001,Offload,1769313482716271,1769313482723732,1769313482724240,1769313482724240,1769313485061547,1769313485061547,1769313485378364,1769313485378364,1769313485381661,2665390,508,1965066,316817,382999,316817,646862,20,yolov5s,PngLossless,T2,HD
36,109,RSU-0002,Offload,1769313484336850,1769313484343925,1769313484344579,1769313484344579,1769313485378393,1769313485378393,1769313485701581,1769313485701582,1769313485704142,1367292,654,324169,323189,719280,323188,657176,19,yolov5s,PngLossless,T2,HD
29,88,RSU-0000,Offload,1769313483627758,1769313483635167,1769313483635848,1769313483635848,1769313485701615,1769313485701615,1769313486022357,1769313486022357,1769313486038002,2410244,681,1945379,320742,143442,320742,654452,19,yolov5s,PngLossless,T2,HD
26,79,RSU-0001,Offload,1769313483325293,1769313483335425,1769313483336047,1769313483336048,1769313486022392,1769313486022392,1769313486345563,1769313486345563,1769313486350562,3025269,623,2333083,323171,368392,323171,647903,19,yolov5s,PngLossless,T2,HD
45,136,RSU-0002,Offload,1769313485250243,1769313485274893,1769313485275564,1769313485275564,1769313486345592,1769313486345592,1769313486664727,1769313486664727,1769313486736827,1486584,671,451893,319135,714885,319135,659127,19,yolov5s,PngLossless,T2,HD
37,112,RSU-0000,Offload,1769313484438972,1769313484451827,1769313484452457,1769313484452457,1769313486664758,1769313486664758,1769313486975060,1769313486975060,1769313486984477,2545505,630,2119785,310302,114788,310302,657629,20,yolov5s,PngLossless,T2,HD
33,100,RSU-0001,Offload,1769313484032775,1769313484040172,1769313484040786,1769313484040787,1769313486975090,1769313486975090,1769313487298976,1769313487298976,1769313487341068,3308293,615,2553777,323886,430015,323886,655467,19,yolov5s,PngLossless,T2,HD
56,169,RSU-0002,Offload,1769313486361873,1769313486409019,1769313486409708,1769313486409708,1769313487299005,1769313487299005,1769313487613456,1769313487613456,1769313487795500,1433627,689,456385,314451,662102,314451,645868,20,yolov5s,PngLossless,T2,HD
42,127,RSU-0000,Offload,1769313484945451,1769313484958306,1769313484958921,1769313484958921,1769313487613489,1769313487613489,1769313487936636,1769313487936636,1769313488017981,3072530,615,2391494,323147,357274,323147,656119,21,yolov5s,PngLossless,T2,HD
41,124,RSU-0001,Offload,1769313484843781,1769313484882874,1769313484883554,1769313484883555,1769313487936683,1769313487936683,1769313488258316,1769313488258316,1769313488420006,3576225,681,2898150,321633,355761,321633,655616,20,yolov5s,PngLossless,T2,HD
63,190,RSU-0002,Offload,1769313487075168,1769313487104008,1769313487104696,1769313487104697,1769313488258346,1769313488258346,1769313488581366,1769313488581366,1769313488810783,1735615,689,736163,323020,675743,323020,650472,18,yolov5s,PngLossless,T2,HD
48,145,RSU-0000,Offload,1769313485552960,1769313485562303,1769313485562996,1769313485562996,1769313488581413,1769313488581414,1769313488903022,1769313488903022,1769313489204937,3651977,693,2995301,321609,334374,321608,655209,20,yolov5s,PngLossless,T2,HD
49,148,RSU-0001,Offload,1769313485653940,1769313485662470,1769313485663003,1769313485663003,1769313488903049,1769313488903049,1769313489229751,1769313489229751,1769313489348180,3694240,533,3018693,326702,348312,326702,659687,19,yolov5s,PngLossless,T2,HD
72,217,RSU-0002,Offload,1769313487987567,1769313488046747,1769313488047357,1769313488047357,1769313489229784,1769313489229784,1769313489550533,1769313489550533,1769313489781951,1794384,610,769316,320749,703709,320749,647120,19,yolov5s,PngLossless,T2,HD
