sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769316978678711,1769316978688821,1769316978689566,1769316978689567,1769316978852060,1769316978852060,1769316979192584,1769316979192585,1769316979196045,517334,746,175964,340525,99,340524,737694,17,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0000,Offload,1769316978678710,1769316978687547,1769316978688195,1769316978688196,1769316979194219,1769316979194219,1769316979557786,1769316979557787,1769316979564181,885471,649,521031,363568,223,363567,737694,17,yolov5s,WebpLossy,T1,FHD
0,1,RSU-0001,Offload,1769316978678711,1769316978682109,1769316978682735,1769316978682735,1769316979557817,1769316979557818,1769316979919803,1769316979919803,1769316979935413,1256702,626,530273,361986,363817,361985,737694,17,yolov5s,WebpLossy,T1,FHD
5,11,RSU-0000,Offload,1769316979019616,1769316979023782,1769316979024224,1769316979024224,1769316979919840,1769316979919840,1769316980277954,1769316980277954,1769316980278969,1259353,442,879700,358114,21097,358114,428484,18,yolov5s,WebpLossy,T1,FHD
6,13,RSU-0001,Offload,1769316979087236,1769316979085942,1769316979086291,1769316979086292,1769316980277983,1769316980277983,1769316980635405,1769316980635405,1769316980698525,1611289,350,833227,357422,420290,357422,418720,17,yolov5s,WebpLossy,T1,FHD
8,17,RSU-0002,Offload,1769316979223606,1769316979236549,1769316979236934,1769316979236935,1769316980635439,1769316980635439,1769316980993591,1769316980993591,1769316981071381,1847775,386,727545,358152,761692,358152,415792,18,yolov5s,WebpLossy,T1,FHD
17,35,RSU-0000,Offload,1769316979835676,1769316979840502,1769316979840949,1769316979840949,1769316980993627,1769316980993627,1769316981350384,1769316981350384,1769316981414385,1578709,447,1161334,356757,60171,356757,414326,20,yolov5s,WebpLossy,T1,FHD
18,37,RSU-0001,Offload,1769316979903468,1769316979906379,1769316979906788,1769316979906789,1769316981350427,1769316981350427,1769316981709329,1769316981709329,1769316981793981,1890513,410,1145000,358902,386201,358902,416542,19,yolov5s,WebpLossy,T1,FHD
24,49,RSU-0002,Offload,1769316980310323,1769316980337552,1769316980338023,1769316980338023,1769316981709361,1769316981709361,1769316982061826,1769316982061826,1769316982124384,1814061,471,654459,352465,806666,352465,418450,19,yolov5s,WebpLossy,T1,FHD
29,59,RSU-0000,Offload,1769316980649725,1769316980658034,1769316980658495,1769316980658495,1769316982061860,1769316982061861,1769316982419598,1769316982419598,1769316982597382,1947657,461,1531771,357738,57687,357737,423194,21,yolov5s,WebpLossy,T1,FHD
30,61,RSU-0001,Offload,1769316980717913,1769316980728539,1769316980728966,1769316980728966,1769316982419632,1769316982419632,1769316982775351,1769316982775351,1769316982935267,2217354,427,1428356,355719,432852,355719,423166,20,yolov5s,WebpLossy,T1,FHD
38,77,RSU-0002,Offload,1769316981261587,1769316981268658,1769316981269063,1769316981269064,1769316982775382,1769316982775382,1769316983127855,1769316983127855,1769316983308741,2047154,406,968328,352473,725947,352473,422292,18,yolov5s,WebpLossy,T1,FHD
40,81,RSU-0000,Offload,1769316981396632,1769316981408384,1769316981408821,1769316981408822,1769316983127895,1769316983127895,1769316983483701,1769316983483702,1769316983596204,2199572,438,1812589,355807,30738,355806,423406,20,yolov5s,WebpLossy,T1,FHD
43,87,RSU-0001,Offload,1769316981600577,1769316981604798,1769316981605203,1769316981605204,1769316983483732,1769316983483732,1769316983842385,1769316983842385,1769316984012298,2411721,406,1692816,358653,359846,358653,428138,20,yolov5s,WebpLossy,T1,FHD
49,99,RSU-0002,Offload,1769316982008491,1769316982013659,1769316982014060,1769316982014060,1769316983842415,1769316983842415,1769316984197787,1769316984197787,1769316984403209,2394718,401,1317215,355372,721730,355372,426870,19,yolov5s,WebpLossy,T1,FHD
50,101,RSU-0000,Offload,1769316982075842,1769316982088907,1769316982089303,1769316982089303,1769316984197824,1769316984197824,1769316984549356,1769316984549356,1769316984640291,2564449,396,2160021,351532,52500,351532,428900,19,yolov5s,WebpLossy,T1,FHD
55,111,RSU-0001,Offload,1769316982415662,1769316982424288,1769316982424688,1769316982424688,1769316984549392,1769316984549392,1769316984904790,1769316984904791,1769316985169015,2753353,400,2032610,355399,364944,355398,432176,20,yolov5s,WebpLossy,T1,FHD
63,127,RSU-0002,Offload,1769316982959508,1769316982967720,1769316982968180,1769316982968181,1769316984904824,1769316984904824,1769316985259721,1769316985259722,1769316985269992,2310484,461,1226511,354898,728614,354897,432222,23,yolov5s,WebpLossy,T1,FHD
