sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1769317293876859,1769317293881707,1769317293881918,1769317293881918,1769317294088837,1769317294088837,1769317294381103,1769317294381103,1769317294381852,504993,211,212492,292266,24,292266,187358,17,yolov5s,WebpLossy,T1,Letterbox
2,5,RSU-0000,Offload,1769317294013268,1769317294017565,1769317294017806,1769317294017806,1769317294382091,1769317294382091,1769317294683253,1769317294683254,1769317294683882,670614,241,368975,301163,235,301162,189682,18,yolov5s,WebpLossy,T1,Letterbox
2,5,RSU-0002,Offload,1769317294013282,1769317294017009,1769317294017244,1769317294017244,1769317294683284,1769317294683285,1769317294984928,1769317294984929,1769317294986979,973697,235,370587,301645,301230,301643,189682,18,yolov5s,WebpLossy,T1,Letterbox
15,31,RSU-0000,Offload,1769317294898235,1769317294904397,1769317294904613,1769317294904614,1769317294984978,1769317294984978,1769317295274007,1769317295274007,1769317295274570,376335,217,38931,289029,48158,289029,165294,17,yolov5s,WebpLossy,T1,Letterbox
15,31,RSU-0001,Offload,1769317294898244,1769317294901007,1769317294901196,1769317294901196,1769317295274037,1769317295274037,1769317295574359,1769317295574359,1769317295574742,676498,189,43991,300322,331996,300322,165294,17,yolov5s,WebpLossy,T1,Letterbox
15,31,RSU-0002,Offload,1769317294898245,1769317294904936,1769317294905140,1769317294905141,1769317295574388,1769317295574388,1769317295864945,1769317295864945,1769317295866856,968611,205,33081,290557,644768,290557,165294,17,yolov5s,WebpLossy,T1,Letterbox
28,57,RSU-0000,Offload,1769317295782817,1769317295789248,1769317295789478,1769317295789479,1769317295864978,1769317295864978,1769317296159079,1769317296159079,1769317296159662,376845,231,32902,294101,49611,294101,164826,18,yolov5s,WebpLossy,T1,Letterbox
28,57,RSU-0001,Offload,1769317295782833,1769317295784204,1769317295784414,1769317295784414,1769317296159111,1769317296159111,1769317296452484,1769317296452484,1769317296452982,670149,210,40895,293373,335671,293373,164826,18,yolov5s,WebpLossy,T1,Letterbox
28,57,RSU-0002,Offload,1769317295782835,1769317295790288,1769317295790509,1769317295790510,1769317296452514,1769317296452515,1769317296743152,1769317296743152,1769317296744565,961730,222,41548,290638,629322,290637,164826,18,yolov5s,WebpLossy,T1,Letterbox
41,83,RSU-0000,Offload,1769317296665961,1769317296669373,1769317296669616,1769317296669616,1769317296743219,1769317296743220,1769317297036872,1769317297036872,1769317297044770,378809,243,42525,293653,42388,293652,167444,20,yolov5s,WebpLossy,T1,Letterbox
41,83,RSU-0001,Offload,1769317296665974,1769317296665304,1769317296665510,1769317296665510,1769317297036904,1769317297036904,1769317297333237,1769317297333238,1769317297333792,667818,206,36410,296334,334868,296333,167444,20,yolov5s,WebpLossy,T1,Letterbox
41,83,RSU-0002,Offload,1769317296665975,1769317296669393,1769317296669636,1769317296669636,1769317297333265,1769317297333265,1769317297625057,1769317297625057,1769317297632247,966272,243,36568,291792,637669,291792,167444,20,yolov5s,WebpLossy,T1,Letterbox
54,109,RSU-0000,Offload,1769317297550245,1769317297555524,1769317297555770,1769317297555770,1769317297625088,1769317297625088,1769317297915541,1769317297915541,1769317297924625,374380,246,45622,290453,38059,290453,167352,19,yolov5s,WebpLossy,T1,Letterbox
54,109,RSU-0001,Offload,1769317297550258,1769317297551630,1769317297551834,1769317297551834,1769317297915569,1769317297915569,1769317298210134,1769317298210134,1769317298210688,660430,204,37469,294565,328192,294565,167352,19,yolov5s,WebpLossy,T1,Letterbox
54,109,RSU-0002,Offload,1769317297550260,1769317297557765,1769317297557975,1769317297557975,1769317298210164,1769317298210164,1769317298502652,1769317298502652,1769317298503298,953038,210,40591,292488,619749,292488,167352,19,yolov5s,WebpLossy,T1,Letterbox
67,135,RSU-0000,Offload,1769317298433696,1769317298438663,1769317298438877,1769317298438877,1769317298502703,1769317298502703,1769317298796034,1769317298796034,1769317298807618,373922,214,45952,293331,34425,293331,167986,20,yolov5s,WebpLossy,T1,Letterbox
67,135,RSU-0001,Offload,1769317298433709,1769317298432074,1769317298432272,1769317298432272,1769317298796064,1769317298796064,1769317299090141,1769317299090141,1769317299090661,656952,198,34544,294077,328133,294077,167986,20,yolov5s,WebpLossy,T1,Letterbox
67,135,RSU-0002,Offload,1769317298433710,1769317298437615,1769317298437822,1769317298437822,1769317299090171,1769317299090171,1769317299378222,1769317299378222,1769317299395063,961353,207,56256,288051,616839,288051,167986,20,yolov5s,WebpLossy,T1,Letterbox
79,159,RSU-0000,Offload,1769317299250583,1769317299253762,1769317299253991,1769317299253991,1769317299378263,1769317299378263,1769317299666823,1769317299666823,1769317300111278,860695,229,477234,288560,94672,288560,169100,18,yolov5s,WebpLossy,T1,Letterbox
79,159,RSU-0001,Offload,1769317299250600,1769317299250050,1769317299250261,1769317299250261,1769317299666850,1769317299666850,1769317299936406,1769317299936406,1769317300520974,1270374,211,619553,269556,381054,269556,169100,18,yolov5s,WebpLossy,T1,Letterbox
79,159,RSU-0002,Offload,1769317299250602,1769317299254473,1769317299254690,1769317299254691,1769317299936435,1769317299936435,1769317300215003,1769317300215004,1769317300521691,1271089,218,339130,278569,653172,278568,169100,18,yolov5s,WebpLossy,T1,Letterbox
84,169,RSU-0000,Offload,1769317299590273,1769317299594779,1769317299595018,1769317299595018,1769317300215048,1769317300215048,1769317300500348,1769317300500348,1769317300725408,1135135,239,753211,285300,96385,285300,166024,19,yolov5s,WebpLossy,T1,Letterbox
84,169,RSU-0001,Offload,1769317299590286,1769317299592193,1769317299592416,1769317299592416,1769317300500383,1769317300500383,1769317300791926,1769317300791926,1769317300792555,1202269,223,530305,291543,380198,291543,166024,19,yolov5s,WebpLossy,T1,Letterbox
84,169,RSU-0002,Offload,1769317299590288,1769317299596884,1769317299597107,1769317299597107,1769317300791956,1769317300791957,1769317301079923,1769317301079924,1769317301135338,1545050,223,588782,287968,668077,287966,166024,19,yolov5s,WebpLossy,T1,Letterbox
91,183,RSU-0000,Offload,1769317300067054,1769317300075511,1769317300075751,1769317300075751,1769317301079959,1769317301079959,1769317301376509,1769317301376510,1769317301556811,1489757,240,1007025,296551,185941,296550,167116,20,yolov5s,WebpLossy,T1,Letterbox
90,181,RSU-0001,Offload,1769317299999406,1769317300001554,1769317300001742,1769317300001742,1769317301376541,1769317301376542,1769317301667597,1769317301667597,1769317301852416,1853010,188,1090434,291056,471332,291055,167656,21,yolov5s,WebpLossy,T1,Letterbox
90,181,RSU-0002,Offload,1769317299999407,1769317300006087,1769317300006303,1769317300006304,1769317301667655,1769317301667661,1769317301958517,1769317301958518,1769317302002579,2003172,217,937210,290863,774882,290856,167656,21,yolov5s,WebpLossy,T1,Letterbox
106,213,RSU-0000,Offload,1769317301087456,1769317301096640,1769317301096831,1769317301096831,1769317301958573,1769317301958573,1769317302252925,1769317302252925,1769317302271140,1183684,191,864374,294352,24767,294352,166710,20,yolov5s,WebpLossy,T1,Letterbox
102,205,RSU-0001,Offload,1769317300814892,1769317300817689,1769317300817919,1769317300817919,1769317302252956,1769317302252956,1769317302550338,1769317302550338,1769317302585931,1771039,230,1147398,297382,326029,297382,168206,19,yolov5s,WebpLossy,T1,Letterbox
104,209,RSU-0002,Offload,1769317300951383,1769317300955256,1769317300955487,1769317300955487,1769317302550373,1769317302550373,1769317302848890,1769317302848890,1769317302872716,1921333,231,1029423,298517,593162,298517,165840,18,yolov5s,WebpLossy,T1,Letterbox
121,243,RSU-0000,Offload,1769317302106241,1769317302114869,1769317302115085,1769317302115086,1769317302848920,1769317302848920,1769317303157353,1769317303157354,1769317303310554,1204313,217,735237,308434,160425,308433,167598,19,yolov5s,WebpLossy,T1,Letterbox
121,243,RSU-0001,Offload,1769317302106256,1769317302108078,1769317302108284,1769317302108284,1769317303157382,1769317303157383,1769317303451825,1769317303451825,1769317303687733,1581477,206,878322,294443,408506,294442,167598,19,yolov5s,WebpLossy,T1,Letterbox
121,243,RSU-0002,Offload,1769317302106257,1769317302113420,1769317302113637,1769317302113637,1769317303451864,1769317303451864,1769317303745399,1769317303745399,1769317303848726,1742469,217,721112,293535,727605,293535,167598,19,yolov5s,WebpLossy,T1,Letterbox
141,283,RSU-0000,Offload,1769317303466784,1769317303477489,1769317303477713,1769317303477713,1769317303745447,1769317303745447,1769317304036598,1769317304036598,1769317304071795,605011,224,282442,291151,31194,291151,166950,16,yolov5s,WebpLossy,T1,Letterbox
143,287,RSU-0001,Offload,1769317303603110,1769317303613596,1769317303613796,1769317303613796,1769317304036629,1769317304036629,1769317304324897,1769317304324897,1769317304356108,752998,200,145603,288268,318927,288268,167240,16,yolov5s,WebpLossy,T1,Letterbox
142,285,RSU-0002,Offload,1769317303535486,1769317303553131,1769317303553353,1769317303553353,1769317304324926,1769317304324926,1769317304616260,1769317304616260,1769317304695308,1159822,222,271743,291334,596523,291334,167356,16,yolov5s,WebpLossy,T1,Letterbox
156,313,RSU-0000,Offload,1769317304489491,1769317304494052,1769317304494274,1769317304494275,1769317304616303,1769317304616303,1769317304907238,1769317304907238,1769317305038816,549325,223,168038,290935,90129,290935,165340,17,yolov5s,WebpLossy,T1,Letterbox
156,313,RSU-0001,Offload,1769317304489510,1769317304487830,1769317304488064,1769317304488064,1769317304907268,1769317304907268,1769317305197402,1769317305197402,1769317305199693,710183,234,36694,290134,383121,290134,165340,17,yolov5s,WebpLossy,T1,Letterbox
156,313,RSU-0002,Offload,1769317304489511,1769317304493273,1769317304493492,1769317304493492,1769317305197435,1769317305197435,1769317305488167,1769317305488167,1769317305488701,999190,219,37280,290732,670959,290732,165340,17,yolov5s,WebpLossy,T1,Letterbox
170,341,RSU-0000,Offload,1769317305441241,1769317305445474,1769317305445687,1769317305445687,1769317305488201,1769317305488201,1769317305772832,1769317305772833,1769317305784460,343219,213,44951,284632,13423,284631,166276,16,yolov5s,WebpLossy,T1,Letterbox
170,341,RSU-0001,Offload,1769317305441253,1769317305439336,1769317305439554,1769317305439554,1769317305772866,1769317305772866,1769317306065816,1769317306065817,1769317306124906,683653,218,94814,292951,295670,292950,166276,16,yolov5s,WebpLossy,T1,Letterbox
170,341,RSU-0002,Offload,1769317305441254,1769317305445523,1769317305445727,1769317305445727,1769317306065848,1769317306065848,1769317306361219,1769317306361219,1769317306460022,1018768,204,134285,295371,588908,295371,166276,16,yolov5s,WebpLossy,T1,Letterbox
182,365,RSU-0000,Offload,1769317306258193,1769317306261840,1769317306262065,1769317306262065,1769317306361254,1769317306361254,1769317306656408,1769317306656408,1769317306806276,548083,225,185861,295154,66843,295154,165536,17,yolov5s,WebpLossy,T1,Letterbox
182,365,RSU-0001,Offload,1769317306258204,1769317306257419,1769317306257650,1769317306257650,1769317306656441,1769317306656441,1769317306947561,1769317306947561,1769317306948631,690427,231,32168,291120,366908,291120,165536,17,yolov5s,WebpLossy,T1,Letterbox
182,365,RSU-0002,Offload,1769317306258205,1769317306261736,1769317306261958,1769317306261958,1769317306947592,1769317306947592,1769317307240631,1769317307240631,1769317307246671,988466,222,28691,293039,666514,293039,165536,17,yolov5s,WebpLossy,T1,Letterbox
195,391,RSU-0000,Offload,1769317307142631,1769317307148020,1769317307148234,1769317307148234,1769317307240674,1769317307240675,1769317307531071,1769317307531071,1769317307549313,406682,214,77523,290397,38548,290396,165850,17,yolov5s,WebpLossy,T1,Letterbox
195,391,RSU-0001,Offload,1769317307142645,1769317307142495,1769317307142702,1769317307142703,1769317307531110,1769317307531110,1769317307820211,1769317307820211,1769317307826765,684120,208,53315,289101,341496,289101,165850,17,yolov5s,WebpLossy,T1,Letterbox
195,391,RSU-0002,Offload,1769317307142646,1769317307149693,1769317307149920,1769317307149920,1769317307820245,1769317307820245,1769317308113433,1769317308113433,1769317308166963,1024317,227,112744,293188,618158,293188,165850,17,yolov5s,WebpLossy,T1,Letterbox
207,415,RSU-0000,Offload,1769317307960315,1769317307967192,1769317307967402,1769317307967402,1769317308113471,1769317308113471,1769317308408966,1769317308408966,1769317308515007,554692,210,136297,295495,122690,295495,165928,18,yolov5s,WebpLossy,T1,Letterbox
207,415,RSU-0001,Offload,1769317307960325,1769317307959725,1769317307959956,1769317307959956,1769317308408998,1769317308408999,1769317308703103,1769317308703103,1769317308703709,743384,231,25295,294105,423753,294104,165928,18,yolov5s,WebpLossy,T1,Letterbox
207,415,RSU-0002,Offload,1769317307960326,1769317307966757,1769317307966987,1769317307966987,1769317308703135,1769317308703135,1769317308994883,1769317308994884,1769317309017165,1056839,230,60529,291749,704331,291748,165928,18,yolov5s,WebpLossy,T1,Letterbox
221,443,RSU-0000,Offload,1769317308913582,1769317308920594,1769317308920973,1769317308920973,1769317308994918,1769317308994918,1769317309289785,1769317309289786,1769317309291496,377914,379,35955,294868,46712,294867,165342,18,yolov5s,WebpLossy,T1,Letterbox
221,443,RSU-0001,Offload,1769317308913595,1769317308916688,1769317308916919,1769317308916920,1769317309289810,1769317309289811,1769317309585411,1769317309585411,1769317309585836,672241,232,42429,295601,333979,295600,165342,18,yolov5s,WebpLossy,T1,Letterbox
221,443,RSU-0002,Offload,1769317308913596,1769317308919914,1769317308920129,1769317308920129,1769317309585439,1769317309585439,1769317309875070,1769317309875070,1769317309900928,987332,215,68137,289631,629349,289631,165342,18,yolov5s,WebpLossy,T1,Letterbox
234,469,RSU-0000,Offload,1769317309798330,1769317309805656,1769317309805866,1769317309805866,1769317309875102,1769317309875102,1769317310168114,1769317310168114,1769317310176733,378403,210,53597,293012,31584,293012,165478,16,yolov5s,WebpLossy,T1,Letterbox
234,469,RSU-0001,Offload,1769317309798338,1769317309800280,1769317309800488,1769317309800488,1769317310168147,1769317310168147,1769317310462865,1769317310462865,1769317310463276,664938,208,34852,294718,335160,294718,165478,16,yolov5s,WebpLossy,T1,Letterbox
234,469,RSU-0002,Offload,1769317309798339,1769317309806759,1769317309806973,1769317309806973,1769317310462894,1769317310462894,1769317310753937,1769317310753937,1769317310754613,956274,214,34686,291043,630331,291043,165478,16,yolov5s,WebpLossy,T1,Letterbox
247,495,RSU-0000,Offload,1769317310681827,1769317310688234,1769317310688460,1769317310688460,1769317310753970,1769317310753970,1769317311048629,1769317311048629,1769317311058604,376777,226,39500,294659,42392,294659,165582,17,yolov5s,WebpLossy,T1,Letterbox
247,495,RSU-0001,Offload,1769317310681843,1769317310684249,1769317310684464,1769317310684464,1769317311048665,1769317311048665,1769317311344649,1769317311344649,1769317311345444,663601,215,46329,295984,321073,295984,165582,17,yolov5s,WebpLossy,T1,Letterbox
247,495,RSU-0002,Offload,1769317310681845,1769317310689683,1769317310689912,1769317310689912,1769317311344692,1769317311344692,1769317311633387,1769317311633388,1769317311633748,951903,229,37175,288696,625803,288695,165582,17,yolov5s,WebpLossy,T1,Letterbox
260,521,RSU-0000,Offload,1769317311566825,1769317311571158,1769317311571381,1769317311571382,1769317311633421,1769317311633421,1769317311924600,1769317311924600,1769317311927802,360977,224,39260,291179,30314,291179,166068,14,yolov5s,WebpLossy,T1,Letterbox
