sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Offload,1769312109545896,1769312109546899,1769312109547360,1769312109547361,1769312109663602,1769312109663602,1769312109971857,1769312109971857,1769312109973444,427548,462,118771,308255,60,308255,519002,17,yolov5s,WebpLossy,T2,HD
0,1,RSU-0000,Offload,1769312109545895,1769312109551066,1769312109551524,1769312109551525,1769312109972941,1769312109972941,1769312110320372,1769312110320372,1769312110326122,780227,459,432020,347431,317,347431,519002,17,yolov5s,WebpLossy,T2,HD
6,19,RSU-0000,Offload,1769312110153642,1769312110163047,1769312110163420,1769312110163421,1769312110320410,1769312110320410,1769312110660858,1769312110660858,1769312110661813,508171,374,159252,340448,8097,340448,384256,18,yolov5s,WebpLossy,T2,HD
2,7,RSU-0001,Offload,1769312109747913,1769312109746945,1769312109747352,1769312109747352,1769312110660890,1769312110660890,1769312111001645,1769312111001645,1769312111033770,1285857,407,593534,340755,351161,340755,466216,20,yolov5s,WebpLossy,T2,HD
5,16,RSU-0002,Offload,1769312110051896,1769312110054106,1769312110054478,1769312110054478,1769312111001687,1769312111001687,1769312111337195,1769312111337195,1769312111343689,1291793,372,240727,335508,715186,335508,385276,18,yolov5s,WebpLossy,T2,HD
17,52,RSU-0000,Offload,1769312111267444,1769312111270585,1769312111270957,1769312111270957,1769312111337243,1769312111337243,1769312111665879,1769312111665880,1769312111666823,399379,372,48967,328637,21403,328636,387044,19,yolov5s,WebpLossy,T2,HD
16,49,RSU-0001,Offload,1769312111165924,1769312111165150,1769312111165530,1769312111165530,1769312111665910,1769312111665910,1769312111993929,1769312111993929,1769312112045366,879442,380,141091,328019,409952,328019,385554,19,yolov5s,WebpLossy,T2,HD
17,52,RSU-0002,Offload,1769312111267459,1769312111266537,1769312111266937,1769312111266937,1769312111993963,1769312111993964,1769312112320545,1769312112320545,1769312112334647,1067188,400,70268,326582,669938,326581,387044,19,yolov5s,WebpLossy,T2,HD
26,79,RSU-0000,Offload,1769312112178497,1769312112183767,1769312112184144,1769312112184144,1769312112320586,1769312112320586,1769312112654561,1769312112654561,1769312112658628,480131,377,78404,333975,67375,333975,389784,19,yolov5s,WebpLossy,T2,HD
26,79,RSU-0001,Offload,1769312112178508,1769312112174505,1769312112174858,1769312112174859,1769312112654710,1769312112654710,1769312113006987,1769312113006988,1769312113056554,878046,354,123871,352278,401543,352277,389784,19,yolov5s,WebpLossy,T2,HD
