sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1777820394141487,1777820394153709,1777820394153857,1777820394153857,1777820394242437,1777820394242437,1777820394954767,1777820394954767,1777820394964697,823210,148,110726,712330,6,712330,28714,17,yolov5m,JpgLossy,T1,Letterbox
1,31,RSU-0000,Offload,1777820395142501,1777820395153181,1777820395153326,1777820395153326,1777820395150657,1777820395150658,1777820395867941,1777820395867942,1777820395986560,844059,145,126616,717285,13,717283,27529,17,yolov5m,JpgLossy,T1,Letterbox
2,61,RSU-0000,Offload,1777820396144140,1777820396153335,1777820396153476,1777820396153476,1777820396151108,1777820396151109,1777820396898517,1777820396898517,1777820397009491,865351,141,117794,747409,7,747408,27784,21,yolov5m,JpgLossy,T1,Letterbox
3,91,RSU-0000,Offload,1777820397145294,1777820397155690,1777820397155833,1777820397155834,1777820397209451,1777820397209451,1777820397926571,1777820397926571,1777820397942798,797504,144,80233,717120,7,717120,28009,22,yolov5m,JpgLossy,T1,Letterbox
4,121,RSU-0000,Offload,1777820398146674,1777820398157715,1777820398157867,1777820398157867,1777820398238306,1777820398238306,1777820398955600,1777820398955600,1777820399057214,910540,152,193086,717294,8,717294,28063,22,yolov5m,JpgLossy,T1,Letterbox
5,151,RSU-0000,Offload,1777820399148043,1777820399156741,1777820399156888,1777820399156888,1777820399158269,1777820399158269,1777820399882430,1777820399882430,1777820399980182,832139,147,107825,724161,6,724161,28072,22,yolov5m,JpgLossy,T1,Letterbox
6,181,RSU-0000,Offload,1777820400148845,1777820400159442,1777820400159582,1777820400159583,1777820400178946,1777820400178946,1777820400903063,1777820400903063,1777820400943448,794603,141,70339,724117,6,724117,27944,22,yolov5m,JpgLossy,T1,Letterbox
7,211,RSU-0000,Offload,1777820401150230,1777820401161620,1777820401161763,1777820401161763,1777820401158488,1777820401158488,1777820401884063,1777820401884064,1777820401924356,774126,143,48400,725576,7,725575,28029,24,yolov5m,JpgLossy,T1,Letterbox
8,241,RSU-0000,Offload,1777820402151317,1777820402162164,1777820402162311,1777820402162311,1777820402160603,1777820402160603,1777820402883719,1777820402883719,1777820402948428,797111,147,73841,723116,7,723116,27949,22,yolov5m,JpgLossy,T1,Letterbox
9,271,RSU-0000,Offload,1777820403152291,1777820403163177,1777820403163324,1777820403163324,1777820403162127,1777820403162127,1777820403885150,1777820403885150,1777820403943780,791489,147,68312,723023,7,723023,28028,22,yolov5m,JpgLossy,T1,Letterbox
