sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1777819845582419,1777819845593698,1777819845611780,1777819845611781,1777819845612411,1777819845612411,1777819845719599,1777819845719599,1777819845726410,143991,18083,18711,107188,9,107188,28714,15,yolov5n,JpgLossy,T1,Letterbox
1,31,RSU-0000,Offload,1777819846582958,1777819846593187,1777819846612874,1777819846612874,1777819846613227,1777819846613227,1777819846716109,1777819846716110,1777819846805694,222736,19687,100160,102883,6,102882,27529,13,yolov5n,JpgLossy,T1,Letterbox
2,61,RSU-0000,Offload,1777819847584110,1777819847594418,1777819847609129,1777819847609130,1777819847623737,1777819847623737,1777819847727548,1777819847727548,1777819847829741,245631,14712,127101,103811,7,103811,27784,14,yolov5n,JpgLossy,T1,Letterbox
3,91,RSU-0000,Offload,1777819848585264,1777819848593518,1777819848608802,1777819848608802,1777819848649744,1777819848649744,1777819848753687,1777819848753687,1777819848859318,274054,15284,154820,103943,7,103943,28009,16,yolov5n,JpgLossy,T1,Letterbox
4,121,RSU-0000,Offload,1777819849586635,1777819849594008,1777819849606908,1777819849606909,1777819849675113,1777819849675113,1777819849778858,1777819849778858,1777819849877862,291227,12901,174575,103745,6,103745,28063,18,yolov5n,JpgLossy,T1,Letterbox
5,151,RSU-0000,Offload,1777819850588345,1777819850597282,1777819850610782,1777819850610783,1777819850700069,1777819850700069,1777819850803918,1777819850803918,1777819850901866,313521,13501,196164,103849,7,103849,28072,18,yolov5n,JpgLossy,T1,Letterbox
6,181,RSU-0000,Offload,1777819851589136,1777819851599556,1777819851613705,1777819851613706,1777819851659364,1777819851659364,1777819851762887,1777819851762887,1777819851823175,234039,14150,116362,103523,4,103523,27944,13,yolov5n,JpgLossy,T1,Letterbox
7,211,RSU-0000,Offload,1777819852590824,1777819852600950,1777819852619150,1777819852619150,1777819852643205,1777819852643205,1777819852747185,1777819852747185,1777819852847502,256678,18200,134491,103980,7,103980,28029,13,yolov5n,JpgLossy,T1,Letterbox
8,241,RSU-0000,Offload,1777819853592601,1777819853602967,1777819853617299,1777819853617300,1777819853666516,1777819853666516,1777819853770385,1777819853770385,1777819853870591,277990,14333,159783,103869,5,103869,27949,15,yolov5n,JpgLossy,T1,Letterbox
9,271,RSU-0000,Offload,1777819854594060,1777819854601561,1777819854624618,1777819854624619,1777819854659737,1777819854659737,1777819854763284,1777819854763284,1777819854792479,198419,23058,71809,103547,5,103547,28028,14,yolov5n,JpgLossy,T1,Letterbox
10,301,RSU-0000,Offload,1777819855595477,1777819855603839,1777819855618414,1777819855618415,1777819855618741,1777819855618741,1777819855722323,1777819855722323,1777819855816682,221205,14576,103040,103582,7,103582,27769,13,yolov5n,JpgLossy,T1,Letterbox
11,331,RSU-0000,Offload,1777819856597205,1777819856607677,1777819856609723,1777819856609724,1777819856610626,1777819856610626,1777819856714929,1777819856714929,1777819856737928,140723,2047,34366,104303,7,104303,27638,15,yolov5n,JpgLossy,T1,Letterbox
12,361,RSU-0000,Offload,1777819857598242,1777819857607136,1777819857612545,1777819857612546,1777819857658437,1777819857658437,1777819857762754,1777819857762754,1777819857769908,171666,5410,61931,104317,8,104317,27868,17,yolov5n,JpgLossy,T1,Letterbox
13,391,RSU-0000,Offload,1777819858599488,1777819858607285,1777819858612370,1777819858612370,1777819858687749,1777819858687750,1777819858791148,1777819858791148,1777819858889101,289613,5085,181123,103399,6,103398,27850,18,yolov5n,JpgLossy,T1,Letterbox
14,421,RSU-0000,Offload,1777819859601222,1777819859609359,1777819859614759,1777819859614759,1777819859711081,1777819859711081,1777819859814560,1777819859814560,1777819859913147,311925,5400,203039,103479,7,103479,27853,14,yolov5n,JpgLossy,T1,Letterbox
15,451,RSU-0000,Offload,1777819860602641,1777819860613083,1777819860620902,1777819860620903,1777819860630261,1777819860630261,1777819860735120,1777819860735120,1777819860834808,232167,7820,119481,104859,7,104859,27677,14,yolov5n,JpgLossy,T1,Letterbox
16,481,RSU-0000,Offload,1777819861604241,1777819861614499,1777819861634517,1777819861634518,1777819861655483,1777819861655483,1777819861759463,1777819861759463,1777819861860991,256750,20019,132744,103980,7,103980,27740,12,yolov5n,JpgLossy,T1,Letterbox
17,511,RSU-0000,Offload,1777819862605506,1777819862615941,1777819862629785,1777819862629786,1777819862677142,1777819862677142,1777819862780673,1777819862780673,1777819862882792,277286,13845,159904,103531,6,103531,27870,14,yolov5n,JpgLossy,T1,Letterbox
18,541,RSU-0000,Offload,1777819863606965,1777819863614609,1777819863625999,1777819863626000,1777819863662546,1777819863662547,1777819863766208,1777819863766209,1777819863803312,196347,11391,81288,103663,5,103661,27833,13,yolov5n,JpgLossy,T1,Letterbox
19,571,RSU-0000,Offload,1777819864608976,1777819864619301,1777819864623780,1777819864623780,1777819864624131,1777819864624131,1777819864728617,1777819864728618,1777819864828056,219080,4479,110107,104487,7,104486,27687,11,yolov5n,JpgLossy,T1,Letterbox
20,601,RSU-0000,Offload,1777819865610488,1777819865620870,1777819865637027,1777819865637027,1777819865647619,1777819865647619,1777819865751379,1777819865751379,1777819865852519,242031,16157,122107,103760,7,103760,28177,13,yolov5n,JpgLossy,T1,Letterbox
21,631,RSU-0000,Offload,1777819866611986,1777819866622568,1777819866629281,1777819866629281,1777819866660373,1777819866660373,1777819866764161,1777819866764161,1777819866876425,264439,6713,153933,103788,5,103788,28478,15,yolov5n,JpgLossy,T1,Letterbox
22,661,RSU-0000,Offload,1777819867613749,1777819867621469,1777819867625189,1777819867625190,1777819867699061,1777819867699061,1777819867802768,1777819867802768,1777819867900225,286476,3721,179043,103707,5,103707,28465,18,yolov5n,JpgLossy,T1,Letterbox
23,691,RSU-0000,Offload,1777819868615285,1777819868623247,1777819868628913,1777819868628913,1777819868723668,1777819868723668,1777819868828618,1777819868828618,1777819868923811,308526,5666,197903,104950,7,104950,28649,20,yolov5n,JpgLossy,T1,Letterbox
24,721,RSU-0000,Offload,1777819869616170,1777819869626697,1777819869630335,1777819869630335,1777819869640411,1777819869640412,1777819869743940,1777819869743940,1777819869846101,229931,3638,122758,103529,6,103528,28485,17,yolov5n,JpgLossy,T1,Letterbox
25,751,RSU-0000,Offload,1777819870617389,1777819870627808,1777819870631685,1777819870631685,1777819870667501,1777819870667501,1777819870771371,1777819870771371,1777819870869495,252106,3877,144352,103870,7,103870,28786,18,yolov5n,JpgLossy,T1,Letterbox
26,781,RSU-0000,Offload,1777819871617885,1777819871628349,1777819871632963,1777819871632964,1777819871689581,1777819871689582,1777819871793107,1777819871793107,1777819871893069,275184,4615,167036,103526,7,103525,28919,14,yolov5n,JpgLossy,T1,Letterbox
27,811,RSU-0000,Offload,1777819872619383,1777819872626815,1777819872643653,1777819872643653,1777819872661039,1777819872661039,1777819872764216,1777819872764217,1777819872815312,195929,16838,75902,103178,11,103177,28433,16,yolov5n,JpgLossy,T1,Letterbox
28,841,RSU-0000,Offload,1777819873620550,1777819873630739,1777819873640014,1777819873640014,1777819873741061,1777819873741061,1777819873845000,1777819873845000,1777819873941064,320514,9275,207288,103939,12,103939,28828,12,yolov5n,JpgLossy,T1,Letterbox
29,871,RSU-0000,Offload,1777819874622663,1777819874633133,1777819874638609,1777819874638609,1777819874659721,1777819874659721,1777819874764766,1777819874764767,1777819874862887,240224,5476,129693,105046,9,105045,29487,15,yolov5n,JpgLossy,T1,Letterbox
30,901,RSU-0000,Offload,1777819875624337,1777819875635352,1777819875639093,1777819875639093,1777819875661166,1777819875661167,1777819875763778,1777819875763778,1777819875770794,146457,3741,40100,102612,4,102611,28445,15,yolov5n,JpgLossy,T1,Letterbox
31,931,RSU-0000,Offload,1777819876625680,1777819876633705,1777819877076879,1777819877076881,1777819877117582,1777819877117582,1777819877221502,1777819877221502,1777819877321425,695745,443176,148642,103920,7,103920,27835,12,yolov5n,JpgLossy,T1,Letterbox
32,961,RSU-0000,Offload,1777819877627097,1777819877635054,1777819878110924,1777819878110925,1777819878140073,1777819878140073,1777819878243482,1777819878243483,1777819878347662,720565,475871,141277,103410,7,103409,27542,14,yolov5n,JpgLossy,T1,Letterbox
33,991,RSU-0000,Offload,1777819878628776,1777819878639871,1777819878652690,1777819878652690,1777819878664283,1777819878664283,1777819878768091,1777819878768091,1777819878859391,230615,12819,113983,103808,5,103808,27399,12,yolov5n,JpgLossy,T1,Letterbox
34,1021,RSU-0000,Offload,1777819879630788,1777819879641373,1777819879646440,1777819879646441,1777819879677258,1777819879677258,1777819879780891,1777819879780891,1777819879881473,250685,5068,141980,103633,4,103633,27200,11,yolov5n,JpgLossy,T1,Letterbox
35,1051,RSU-0000,Offload,1777819880632350,1777819880643189,1777819880644763,1777819880644763,1777819880699600,1777819880699601,1777819880803459,1777819880803459,1777819880840591,208241,1574,102802,103859,6,103858,27234,9,yolov5n,JpgLossy,T1,Letterbox
36,1081,RSU-0000,Offload,1777819881633109,1777819881640707,1777819881645974,1777819881645975,1777819881726950,1777819881726950,1777819881830369,1777819881830369,1777819881929457,296348,5268,187654,103419,7,103419,27338,8,yolov5n,JpgLossy,T1,Letterbox
