sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Offload,1777820186164703,1777820186179243,1777820186179392,1777820186179393,1777820186269195,1777820186269195,1777820186541170,1777820186541170,1777820186574231,409528,150,137397,271975,6,271975,28714,16,yolov5s,JpgLossy,T1,Letterbox
1,7,RSU-0000,Offload,1777820186366652,1777820186377073,1777820186377217,1777820186377217,1777820186541283,1777820186541283,1777820186811428,1777820186811429,1777820186820227,453575,144,183279,270146,6,270145,28343,17,yolov5s,JpgLossy,T1,Letterbox
3,19,RSU-0000,Offload,1777820186770073,1777820186781955,1777820186782094,1777820186782094,1777820186811472,1777820186811472,1777820187081946,1777820187081946,1777820187177836,407763,139,102879,270474,34271,270474,27547,14,yolov5s,JpgLossy,T1,Letterbox
4,25,RSU-0000,Offload,1777820186971261,1777820186983163,1777820186983297,1777820186983297,1777820187081994,1777820187081994,1777820187362722,1777820187362722,1777820187378583,407322,134,23343,280728,103117,280728,27488,17,yolov5s,JpgLossy,T1,Letterbox
5,31,RSU-0000,Offload,1777820187172355,1777820187184536,1777820187184680,1777820187184680,1777820187362767,1777820187362767,1777820187642576,1777820187642576,1777820187651155,478800,144,15451,279809,183396,279809,27529,16,yolov5s,JpgLossy,T1,Letterbox
7,43,RSU-0000,Offload,1777820187574244,1777820187586510,1777820187586647,1777820187586647,1777820187642620,1777820187642620,1777820187923588,1777820187923588,1777820187932258,358014,137,14403,280968,62506,280968,27662,18,yolov5s,JpgLossy,T1,Letterbox
8,49,RSU-0000,Offload,1777820187775081,1777820187786817,1777820187786968,1777820187786968,1777820187923631,1777820187923631,1777820188204535,1777820188204535,1777820188213130,438049,151,14360,280904,142634,280904,27638,18,yolov5s,JpgLossy,T1,Letterbox
10,61,RSU-0000,Offload,1777820188178560,1777820188190929,1777820188191068,1777820188191068,1777820188204572,1777820188204572,1777820188485137,1777820188485138,1777820188519227,340667,139,39901,280566,20061,280565,27784,16,yolov5s,JpgLossy,T1,Letterbox
11,67,RSU-0000,Offload,1777820188380179,1777820188391801,1777820188391955,1777820188391955,1777820188485172,1777820188485172,1777820188766112,1777820188766113,1777820188788532,408353,154,27322,280941,99936,280940,27952,14,yolov5s,JpgLossy,T1,Letterbox
12,73,RSU-0000,Offload,1777820188581037,1777820188590901,1777820188591047,1777820188591047,1777820188766148,1777820188766148,1777820189047309,1777820189047309,1777820189056031,474994,146,11078,281161,182609,281161,27917,18,yolov5s,JpgLossy,T1,Letterbox
14,85,RSU-0000,Offload,1777820188983390,1777820188995433,1777820188995575,1777820188995576,1777820189047348,1777820189047348,1777820189328342,1777820189328342,1777820189391373,407983,143,68256,280994,58590,280994,27969,18,yolov5s,JpgLossy,T1,Letterbox
15,91,RSU-0000,Offload,1777820189183994,1777820189195787,1777820189195942,1777820189195942,1777820189328378,1777820189328378,1777820189610952,1777820189610952,1777820189619460,435466,155,13697,282574,139040,282574,28009,17,yolov5s,JpgLossy,T1,Letterbox
17,103,RSU-0000,Offload,1777820189587226,1777820189599378,1777820189599523,1777820189599523,1777820189611008,1777820189611008,1777820189892763,1777820189892763,1777820189952725,365499,145,65524,281755,18075,281755,28116,18,yolov5s,JpgLossy,T1,Letterbox
