sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
1,31,,1756491775935230,,,,1756491775958720,1756491777787618,0,0,11270,1828898,1817628,58702,22,1920,1080,yolov5s,local
10,301,,1756491777756682,,,,1756491777769589,1756491779591654,0,0,20263,1822065,1801802,59327,25,1920,1080,yolov5s,local
19,571,,1756491779561125,,,,1756491779581285,1756491781397168,0,0,50246,1815883,1765637,58911,19,1920,1080,yolov5s,local
26,781,,1756491781330254,,,,1756491780991590,1756491783214322,0,0,374091,2222732,1848641,61022,24,1920,1080,yolov5s,local
27,811,,1756491781330543,,,,1756491781192443,1756491785050239,0,0,2018329,3857796,1839467,59928,23,1920,1080,yolov5s,local
46,1381,,1756491784996528,,,,1756491785019207,1756491786855992,0,0,32958,1836785,1803827,59230,21,1920,1080,yolov5s,local
55,1651,,1756491786811691,,,,1756491786831705,1756491788654849,0,0,23241,1823144,1799903,58256,17,1920,1080,yolov5s,local
64,1921,,1756491788620451,,,,1756491788643428,1756491790464315,0,0,11503,1820887,1809384,60640,26,1920,1080,yolov5s,local
73,2191,,1756491790432586,,,,1756491790455214,1756491792276468,0,0,10172,1821254,1811082,61031,22,1920,1080,yolov5s,local
81,2431,,1756491792043877,,,,1756491792066724,1756491794084020,0,0,258084,2017296,1759212,64553,27,1920,1080,yolov5s,local
90,2701,,1756491793853466,,,,1756491793879355,1756491795878451,0,0,197629,1999096,1801467,60405,24,1920,1080,yolov5s,local
99,2971,,1756491795676016,,,,1756491795691537,1756491797690261,0,0,228590,1998724,1770134,58815,21,1920,1080,yolov5s,local
108,3241,,1756491797482128,,,,1756491797505081,1756491799431087,0,0,124244,1926006,1801762,60799,26,1920,1080,yolov5s,local
117,3511,,1756491799294424,,,,1756491799317264,1756491801275181,0,0,148364,1957917,1809553,59033,15,1920,1080,yolov5s,local
126,3781,,1756491801105625,,,,1756491801128583,1756491803117634,0,0,199611,1989051,1789440,58140,13,1920,1080,yolov5s,local
