sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
4,121,,1756500061485398,1756500061485528,1756500061565376,1756500061960717,1756500061442973,1756500061920153,130,395341,81709,477180,395316,59874,28,1920,1080,yolov5m,offload
14,421,,1756500062154265,1756500062154389,1756500062245279,1756500062550283,1756500062115365,1756500062522651,124,305004,102158,407286,304983,59168,25,1920,1080,yolov5m,offload
18,541,,1756500062426949,1756500062427071,1756500062551283,1756500062841357,1756500062385103,1756500062800649,122,290074,125350,415546,290052,59086,33,1920,1080,yolov5m,offload
23,691,,1756500062764795,1756500062764922,1756500062842479,1756500063164353,1756500062722716,1756500063131185,127,321874,86468,408469,321853,60306,32,1920,1080,yolov5m,offload
27,811,,1756500063035397,1756500063035527,1756500063165449,1756500063499310,1756500062992790,1756500063459721,130,333861,132940,466931,333842,59928,28,1920,1080,yolov5m,offload
32,961,,1756500063372192,1756500063372316,1756500063500290,1756500063846183,1756500063328358,1756500063805439,124,345893,131064,477081,345875,58184,22,1920,1080,yolov5m,offload
37,1111,,1756500063709220,1756500063709346,1756500063847288,1756500064187246,1756500063667008,1756500064146514,126,339958,139422,479506,339942,57896,18,1920,1080,yolov5m,offload
43,1291,,1756500064113993,1756500064114119,1756500064188630,1756500064524868,1756500064071310,1756500064483599,126,336238,75925,412289,336221,57597,18,1920,1080,yolov5m,offload
48,1441,,1756500064451592,1756500064451723,1756500064525766,1756500064864676,1756500064409401,1756500064823008,131,338910,74566,413607,338891,58266,23,1920,1080,yolov5m,offload
53,1591,,1756500064790573,1756500064790704,1756500064866225,1756500065203346,1756500064748301,1756500065161579,131,337121,76026,413278,337102,58357,24,1920,1080,yolov5m,offload
58,1741,,1756500065127887,1756500065128011,1756500065204754,1756500065540746,1756500065085835,1756500065499265,124,335992,77314,413430,335973,59515,25,1920,1080,yolov5m,offload
63,1891,,1756500065464850,1756500065464973,1756500065542028,1756500065886672,1756500065422410,1756500065847368,123,344644,80191,424958,344624,60692,27,1920,1080,yolov5m,offload
68,2041,,1756500065809180,1756500065809300,1756500065888157,1756500066226259,1756500065760179,1756500066184917,120,338102,86516,424738,338082,60568,28,1920,1080,yolov5m,offload
73,2191,,1756500066140808,1756500066140931,1756500066227553,1756500066558517,1756500066096766,1756500066517726,123,330964,89873,420960,330945,61031,28,1920,1080,yolov5m,offload
78,2341,,1756500066471747,1756500066471871,1756500066560840,1756500066916910,1756500066432800,1756500066875297,124,356070,86303,442497,356051,61306,27,1920,1080,yolov5m,offload
83,2491,,1756500066810767,1756500066810914,1756500066918113,1756500067289077,1756500066768626,1756500067247526,147,370964,107789,478900,370940,65017,37,1920,1080,yolov5m,offload
88,2641,,1756500067147732,1756500067147865,1756500067290418,1756500067628743,1756500067104910,1756500067593152,133,338325,149784,488242,338302,63365,36,1920,1080,yolov5m,offload
94,2821,,1756500067551143,1756500067551265,1756500067629786,1756500067936182,1756500067508134,1756500067894999,122,306396,80347,386865,306376,60178,27,1920,1080,yolov5m,offload
98,2941,,1756500067819257,1756500067819382,1756500067937069,1756500068225924,1756500067777272,1756500068184574,125,288855,118322,407302,288837,58795,27,1920,1080,yolov5m,offload
103,3091,,1756500068157433,1756500068157561,1756500068226168,1756500068503359,1756500068114430,1756500068461549,128,277191,69800,347119,277173,58490,24,1920,1080,yolov5m,offload
107,3211,,1756500068427561,1756500068427688,1756500068503617,1756500068779364,1756500068385704,1756500068739718,127,275747,78140,354014,275727,59962,28,1920,1080,yolov5m,offload
