sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
2,61,,1756489856638450,1756489856638567,1756489856711281,1756489857011244,1756489856656022,1756489857018850,117,299963,62748,362828,299941,59277,22,1920,1080,yolov5n,offload
7,211,,1756489856975986,1756489856976111,1756489857250983,1756489857458403,1756489856993730,1756489857469100,125,207420,267825,475370,207402,59839,23,1920,1080,yolov5n,offload
8,241,,1756489857045791,1756489857045914,1756489857459679,1756489857678135,1756489857061276,1756489857686039,123,218456,406184,624763,218438,59642,23,1920,1080,yolov5n,offload
9,271,,1756489857107933,1756489857108057,1756489857679210,1756489857883532,1756489857128861,1756489857891518,124,204322,558211,762657,204304,60144,22,1920,1080,yolov5n,offload
10,301,,1756489857179118,1756489857179243,1756489857885240,1756489858089061,1756489857196325,1756489858096950,125,203821,696679,900625,203803,59327,20,1920,1080,yolov5n,offload
11,331,,1756489857246115,1756489857246238,1756489858089618,1756489858280176,1756489857264066,1756489858286337,123,190558,831590,1022271,190541,59211,20,1920,1080,yolov5n,offload
12,361,,1756489857314208,1756489857314332,1756489858281965,1756489858442682,1756489857331807,1756489858449998,124,160717,957350,1118191,160698,59100,22,1920,1080,yolov5n,offload
13,391,,1756489857380611,1756489857380736,1756489858443855,1756489858619148,1756489857398546,1756489858626749,125,175293,1052785,1228203,175275,58963,21,1920,1080,yolov5n,offload
14,421,,1756489857449509,1756489857449632,1756489858619683,1756489858822216,1756489857466268,1756489858831119,123,202533,1162195,1364851,202515,59168,20,1920,1080,yolov5n,offload
15,451,,1756489857516040,1756489857516165,1756489858822701,1756489859023783,1756489857533785,1756489859031303,125,201082,1296311,1497518,201065,59162,20,1920,1080,yolov5n,offload
