sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756492405982969,1756492405983137,1756492406085712,1756492406379943,1756492405927080,1756492406470001,168,294231,248522,542921,294209,129971,29,1920,1080,yolov5s,offload
2,61,,1756492406304952,1756492406305067,1756492406438290,1756492406619450,1756492406330662,1756492406646173,115,181160,134236,315511,181135,59277,31,1920,1080,yolov5s,offload
3,91,,1756492406501141,1756492406501264,1756492406651615,1756492406824768,1756492406531683,1756492406879726,123,173153,174767,348043,173132,59805,32,1920,1080,yolov5s,offload
4,121,,1756492406705306,1756492406705433,1756492406854681,1756492407020003,1756492406732856,1756492407138273,127,165322,239968,405417,165300,59874,34,1920,1080,yolov5s,offload
5,151,,1756492406905790,1756492406905910,1756492407049445,1756492407213730,1756492406933403,1756492407289365,120,164285,191557,355962,164262,60166,28,1920,1080,yolov5s,offload
6,181,,1756492407108749,1756492407108877,1756492407214827,1756492407385056,1756492407135278,1756492407494121,128,170229,188486,358843,170203,59562,34,1920,1080,yolov5s,offload
7,211,,1756492407310182,1756492407310310,1756492407386209,1756492407576351,1756492407336761,1756492407603074,128,190142,76043,266313,190122,59839,26,1920,1080,yolov5s,offload
8,241,,1756492407510807,1756492407510952,1756492407583907,1756492407754461,1756492407537833,1756492407800728,145,170554,92196,262895,170532,59642,28,1920,1080,yolov5s,offload
9,271,,1756492407711266,1756492407711394,1756492407784535,1756492407981452,1756492407738812,1756492408109326,128,196917,173469,370514,196897,60144,26,1920,1080,yolov5s,offload
10,301,,1756492407911839,1756492407911965,1756492407984711,1756492408155341,1756492407939457,1756492408214361,126,170630,104148,274904,170608,59327,31,1920,1080,yolov5s,offload
11,331,,1756492408112972,1756492408113099,1756492408184534,1756492408354808,1756492408140724,1756492408381382,127,170274,70257,240658,170253,59211,28,1920,1080,yolov5s,offload
12,361,,1756492408314398,1756492408314523,1756492408384685,1756492408554476,1756492408342068,1756492408580847,125,169791,68863,238779,169773,59100,23,1920,1080,yolov5s,offload
13,391,,1756492408519678,1756492408519805,1756492408584872,1756492408755168,1756492408544118,1756492408782005,127,170296,67464,237887,170277,58963,25,1920,1080,yolov5s,offload
14,421,,1756492408717911,1756492408718039,1756492408786584,1756492408956691,1756492408745576,1756492408983171,128,170107,67360,237595,170088,59168,24,1920,1080,yolov5s,offload
15,451,,1756492408919139,1756492408919258,1756492408985527,1756492409168177,1756492408946776,1756492409234174,119,182650,104629,287398,182631,59162,24,1920,1080,yolov5s,offload
16,481,,1756492409120487,1756492409120614,1756492409186540,1756492409356295,1756492409147952,1756492409381881,127,169755,64047,233929,169736,58983,25,1920,1080,yolov5s,offload
17,511,,1756492409322207,1756492409322336,1756492409387720,1756492409557376,1756492409349890,1756492409582980,129,169656,63305,233090,169636,59438,24,1920,1080,yolov5s,offload
18,541,,1756492409523039,1756492409523163,1756492409586356,1756492409756814,1756492409550630,1756492409782727,124,170458,61515,232097,170437,59086,27,1920,1080,yolov5s,offload
19,571,,1756492409724544,1756492409724669,1756492409787548,1756492409957361,1756492409751733,1756492409982917,125,169813,61246,231184,169794,58911,25,1920,1080,yolov5s,offload
20,601,,1756492409924858,1756492409924985,1756492409987909,1756492410157660,1756492409952459,1756492410184226,127,169751,61889,231767,169733,60105,25,1920,1080,yolov5s,offload
21,631,,1756492410129696,1756492410129821,1756492410188726,1756492410359479,1756492410153664,1756492410386613,125,170753,62071,232949,170732,60197,30,1920,1080,yolov5s,offload
22,661,,1756492410331876,1756492410332004,1756492410390769,1756492410561909,1756492410355006,1756492410587899,128,171140,61625,232893,171120,60507,28,1920,1080,yolov5s,offload
23,691,,1756492410529705,1756492410529831,1756492410592078,1756492410762714,1756492410556391,1756492410788853,126,170636,61700,232462,170616,60306,29,1920,1080,yolov5s,offload
24,721,,1756492410733301,1756492410733425,1756492410792016,1756492410962792,1756492410757670,1756492410989596,124,170776,61026,231926,170756,60195,28,1920,1080,yolov5s,offload
25,751,,1756492410932367,1756492410932494,1756492410993586,1756492411163947,1756492410958599,1756492411189509,127,170361,60422,230910,170343,60760,26,1920,1080,yolov5s,offload
26,781,,1756492411132327,1756492411132456,1756492411194175,1756492411364352,1756492411159340,1756492411390424,129,170177,60778,231084,170159,61022,25,1920,1080,yolov5s,offload
27,811,,1756492411333673,1756492411333798,1756492411394384,1756492411580882,1756492411361272,1756492411693244,125,186498,145349,331972,186477,59928,25,1920,1080,yolov5s,offload
