sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
1,31,,1756498156093027,,,,1756498156076214,1756498160234363,0,0,35500,4158149,4122649,58702,24,1920,1080,yolov5m,local
10,301,,1756498160218835,,,,1756498156988873,1756498164222535,0,0,3228159,7233662,4005503,59327,23,1920,1080,yolov5m,local
41,1231,,1756498160231952,,,,1756498160128897,1756498168242419,0,0,4126278,8113522,3987244,57665,17,1920,1080,yolov5m,local
120,3601,,1756498168157651,,,,1756498168138714,1756498172200925,0,0,70443,4062211,3991768,59830,19,1920,1080,yolov5m,local
159,4771,,1756498172110371,,,,1756498172091345,1756498176179502,0,0,105250,4088157,3982907,58662,11,1920,1080,yolov5m,local
199,5971,,1756498176162129,,,,1756498176144274,1756498180203905,0,0,74016,4059631,3985615,58392,27,1920,1080,yolov5m,local
238,7141,,1756498180117552,,,,1756498180099236,1756498184165671,0,0,67278,4066435,3999157,56515,16,1920,1080,yolov5m,local
278,8341,,1756498184171352,,,,1756498184153966,1756498188157787,0,0,13973,4003821,3989848,58206,24,1920,1080,yolov5m,local
317,9511,,1756498188126236,,,,1756498188107372,1756498192167395,0,0,59819,4060023,4000204,57983,23,1920,1080,yolov5m,local
356,10681,,1756498192081821,,,,1756498192062549,1756498196226847,0,0,156041,4164298,4008257,59241,23,1920,1080,yolov5m,local
396,11881,,1756498196140331,,,,1756498196121967,1756498200182278,0,0,60482,4060311,3999829,57883,16,1920,1080,yolov5m,local
435,13051,,1756498200097623,,,,1756498200077319,1756498204164970,0,0,87050,4087651,4000601,57697,20,1920,1080,yolov5m,local
475,14251,,1756498204153675,,,,1756498204133619,1756498208195291,0,0,64436,4061672,3997236,58087,21,1920,1080,yolov5m,local
514,15421,,1756498208108839,,,,1756498208090022,1756498212163441,0,0,73608,4073419,3999811,57815,18,1920,1080,yolov5m,local
554,16621,,1756498212164100,,,,1756498212145268,1756498216104070,0,0,62257,3958802,3896545,58814,27,1920,1080,yolov5m,local
592,17761,,1756498216017733,,,,1756498215998850,1756498220066292,0,0,61976,4067442,4005466,61340,20,1920,1080,yolov5m,local
632,18961,,1756498220075789,,,,1756498220055700,1756498223990343,0,0,43071,3934643,3891572,58405,21,1920,1080,yolov5m,local
670,20101,,1756498223929925,,,,1756498223910511,1756498227971599,0,0,54090,4061088,4006998,57892,21,1920,1080,yolov5m,local
709,21271,,1756498227884182,,,,1756498227867811,1756498232027348,0,0,148718,4159537,4010819,60435,29,1920,1080,yolov5m,local
749,22471,,1756498231943883,,,,1756498231923721,1756498235883005,0,0,66471,3959284,3892813,58688,21,1920,1080,yolov5m,local
787,23611,,1756498235799017,,,,1756498235777306,1756498239878059,0,0,96806,4100753,4003947,56846,22,1920,1080,yolov5m,local
827,24811,,1756498239848458,,,,1756498239830364,1756498243889298,0,0,57630,4058934,4001304,58464,20,1920,1080,yolov5m,local
866,25981,,1756498243805808,,,,1756498243785609,1756498247842587,0,0,148143,4056978,3908835,58810,24,1920,1080,yolov5m,local
905,27151,,1756498247757885,,,,1756498247737514,1756498251789493,0,0,51458,4051979,4000521,56936,21,1920,1080,yolov5m,local
944,28321,,1756498251715871,,,,1756498251693879,1756498255790818,0,0,95448,4096939,4001491,58081,23,1920,1080,yolov5m,local
984,29521,,1756498255766888,,,,1756498255746228,1756498259807424,0,0,50883,4061196,4010313,56166,14,1920,1080,yolov5m,local
