sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
1,31,,1756487956367015,,,,1756487956366870,1756487957282551,0,0,68765,915681,846916,58702,14,1920,1080,yolov5n,local
9,271,,1756487957217318,,,,1756487957178827,1756487958094710,0,0,109460,915883,806423,60144,16,1920,1080,yolov5n,local
17,511,,1756487958026201,,,,1756487957990738,1756487958839899,0,0,55087,849161,794074,59438,14,1920,1080,yolov5n,local
24,721,,1756487958823463,,,,1756487958699958,1756487959658772,0,0,148468,958814,810346,60195,19,1920,1080,yolov5n,local
25,751,,1756487958823676,,,,1756487958801704,1756487960463869,0,0,849474,1662165,812691,60760,20,1920,1080,yolov5n,local
41,1231,,1756487960418958,,,,1756487960423224,1756487961273414,0,0,39696,850190,810494,57665,12,1920,1080,yolov5n,local
49,1471,,1756487961228006,,,,1756487961234682,1756487962077622,0,0,38974,842940,803966,59062,17,1920,1080,yolov5n,local
57,1711,,1756487962039562,,,,1756487962046159,1756487962889319,0,0,32196,843160,810964,59468,11,1920,1080,yolov5n,local
65,1951,,1756487962855899,,,,1756487962857623,1756487963693344,0,0,32330,835721,803391,60710,12,1920,1080,yolov5n,local
73,2191,,1756487963664508,,,,1756487963669285,1756487964503026,0,0,23548,833741,810193,61031,16,1920,1080,yolov5n,local
81,2431,,1756487964475658,,,,1756487964483059,1756487965311648,0,0,20509,828589,808080,64553,23,1920,1080,yolov5n,local
89,2671,,1756487965287959,,,,1756487965294964,1756487966122005,0,0,16785,827041,810256,61861,17,1920,1080,yolov5n,local
97,2911,,1756487966102714,,,,1756487966107552,1756487966933645,0,0,20894,826093,805199,58936,17,1920,1080,yolov5n,local
104,3121,,1756487966810468,,,,1756487966817139,1756487967735769,0,0,113893,918630,804737,59094,16,1920,1080,yolov5n,local
112,3361,,1756487967621517,,,,1756487967628529,1756487968543374,0,0,110290,914845,804555,60502,11,1920,1080,yolov5n,local
120,3601,,1756487968432592,,,,1756487968439627,1756487969356454,0,0,108940,916827,807887,59830,13,1920,1080,yolov5n,local
128,3841,,1756487969244166,,,,1756487969251110,1756487970168451,0,0,112237,917341,805104,58288,10,1920,1080,yolov5n,local
136,4081,,1756487970056075,,,,1756487970062417,1756487970979565,0,0,113745,917148,803403,58286,12,1920,1080,yolov5n,local
144,4321,,1756487970864678,,,,1756487970874446,1756487971765590,0,0,83280,891144,807864,57811,7,1920,1080,yolov5n,local
152,4561,,1756487971681735,,,,1756487971685642,1756487972589877,0,0,103046,904235,801189,57263,5,1920,1080,yolov5n,local
160,4801,,1756487972495225,,,,1756487972496938,1756487973409306,0,0,108496,912368,803872,58269,8,1920,1080,yolov5n,local
168,5041,,1756487973302113,,,,1756487973309090,1756487974226638,0,0,113944,917548,803604,60450,10,1920,1080,yolov5n,local
176,5281,,1756487974117079,,,,1756487974121786,1756487974981985,0,0,51689,860199,808510,59831,14,1920,1080,yolov5n,local
184,5521,,1756487974926336,,,,1756487974931740,1756487975845952,0,0,107669,914212,806543,58672,14,1920,1080,yolov5n,local
192,5761,,1756487975738030,,,,1756487975742705,1756487976591312,0,0,46103,848607,802504,57182,14,1920,1080,yolov5n,local
200,6001,,1756487976546250,,,,1756487976553027,1756487977401196,0,0,40151,848169,808018,58786,21,1920,1080,yolov5n,local
208,6241,,1756487977359530,,,,1756487977366057,1756487978207748,0,0,34611,841691,807080,57592,16,1920,1080,yolov5n,local
216,6481,,1756487978169738,,,,1756487978176981,1756487979015718,0,0,30437,838737,808300,57001,12,1920,1080,yolov5n,local
224,6721,,1756487978983417,,,,1756487978989759,1756487979822546,0,0,26129,832787,806658,57558,14,1920,1080,yolov5n,local
232,6961,,1756487979796615,,,,1756487979800441,1756487980633364,0,0,23250,832923,809673,58071,18,1920,1080,yolov5n,local
240,7201,,1756487980608178,,,,1756487980612566,1756487981439298,0,0,20305,826732,806427,56926,13,1920,1080,yolov5n,local
248,7441,,1756487981416640,,,,1756487981423856,1756487982245330,0,0,17085,821474,804389,57139,13,1920,1080,yolov5n,local
255,7651,,1756487982127004,,,,1756487982133501,1756487983056569,0,0,111204,923068,811864,57183,18,1920,1080,yolov5n,local
264,7921,,1756487983039715,,,,1756487983045403,1756487983866450,0,0,15282,821047,805765,58361,21,1920,1080,yolov5n,local
271,8131,,1756487983747778,,,,1756487983754357,1756487984678985,0,0,110260,924628,814368,57979,13,1920,1080,yolov5n,local
279,8371,,1756487984560865,,,,1756487984567209,1756487985483466,0,0,115125,916257,801132,57954,15,1920,1080,yolov5n,local
287,8611,,1756487985373259,,,,1756487985379778,1756487986293067,0,0,108527,913289,804762,59296,14,1920,1080,yolov5n,local
295,8851,,1756487986185042,,,,1756487986189591,1756487987091976,0,0,98274,902385,804111,58644,10,1920,1080,yolov5n,local
303,9091,,1756487986992812,,,,1756487986999358,1756487987915525,0,0,102320,916167,813847,58122,14,1920,1080,yolov5n,local
311,9331,,1756487987804128,,,,1756487987810549,1756487988717876,0,0,94234,907327,813093,58864,18,1920,1080,yolov5n,local
319,9571,,1756487988615433,,,,1756487988622655,1756487989530835,0,0,93939,908180,814241,57253,14,1920,1080,yolov5n,local
327,9811,,1756487989427968,,,,1756487989434446,1756487990342989,0,0,100829,908543,807714,57064,18,1920,1080,yolov5n,local
335,10051,,1756487990241135,,,,1756487990247080,1756487991146757,0,0,94676,899677,805001,56556,10,1920,1080,yolov5n,local
343,10291,,1756487991048911,,,,1756487991058538,1756487991951452,0,0,88416,892914,804498,56757,13,1920,1080,yolov5n,local
351,10531,,1756487991862163,,,,1756487991870713,1756487992762184,0,0,82712,891471,808759,58166,12,1920,1080,yolov5n,local
359,10771,,1756487992676416,,,,1756487992681915,1756487993584381,0,0,94549,902466,807917,59574,16,1920,1080,yolov5n,local
367,11011,,1756487993483975,,,,1756487993491942,1756487994401647,0,0,102053,909705,807652,59416,14,1920,1080,yolov5n,local
375,11251,,1756487994302022,,,,1756487994303768,1756487995222507,0,0,118023,918739,800716,58201,12,1920,1080,yolov5n,local
383,11491,,1756487995110447,,,,1756487995113397,1756487995981069,0,0,61661,867672,806011,60555,15,1920,1080,yolov5n,local
391,11731,,1756487995920130,,,,1756487995926807,1756487996785511,0,0,57640,858704,801064,57436,10,1920,1080,yolov5n,local
399,11971,,1756487996730672,,,,1756487996737589,1756487997588642,0,0,46875,851053,804178,57405,10,1920,1080,yolov5n,local
407,12211,,1756487997539850,,,,1756487997547780,1756487998380296,0,0,39450,832516,793066,58129,12,1920,1080,yolov5n,local
415,12451,,1756487998351381,,,,1756487998358127,1756487999187330,0,0,22330,829203,806873,56965,10,1920,1080,yolov5n,local
423,12691,,1756487999163202,,,,1756487999169931,1756487999988566,0,0,18435,818635,800200,57160,11,1920,1080,yolov5n,local
431,12931,,1756487999971900,,,,1756487999979069,1756488000796356,0,0,12086,817287,805201,57469,11,1920,1080,yolov5n,local
438,13141,,1756488000682641,,,,1756488000689692,1756488001605129,0,0,110488,915437,804949,57281,13,1920,1080,yolov5n,local
446,13381,,1756488001489988,,,,1756488001500125,1756488002415904,0,0,111068,915779,804711,58300,16,1920,1080,yolov5n,local
454,13621,,1756488002303168,,,,1756488002310997,1756488003227203,0,0,117054,916206,799152,57864,11,1920,1080,yolov5n,local
462,13861,,1756488003114644,,,,1756488003121945,1756488004012435,0,0,84799,890490,805691,57407,13,1920,1080,yolov5n,local
470,14101,,1756488003926139,,,,1756488003932103,1756488004847113,0,0,119590,915010,795420,58714,14,1920,1080,yolov5n,local
478,14341,,1756488004737886,,,,1756488004743050,1756488005658487,0,0,110083,915437,805354,57656,11,1920,1080,yolov5n,local
486,14581,,1756488005545947,,,,1756488005553157,1756488006401809,0,0,58427,848652,790225,58053,13,1920,1080,yolov5n,local
