sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756493048640997,,,,1756493048645930,1756493050574535,0,0,71994,1928605,1856611,129971,26,1920,1080,yolov5s,local
12,361,,1756493050502117,,,,1756493049861930,1756493052297843,0,0,678903,2435913,1757010,59100,19,1920,1080,yolov5s,local
18,541,,1756493050504039,,,,1756493050469296,1756493054123069,0,0,1870344,3653773,1783429,59086,22,1920,1080,yolov5s,local
53,1591,,1756493054001923,,,,1756493054019741,1756493055829786,0,0,54883,1810045,1755162,58357,13,1920,1080,yolov5s,local
70,2101,,1756493055728718,,,,1756493055743307,1756493057613732,0,0,84721,1870425,1785704,60860,23,1920,1080,yolov5s,local
88,2641,,1756493057553307,,,,1756493057570710,1756493059406677,0,0,45419,1835967,1790548,63365,29,1920,1080,yolov5s,local
105,3151,,1756493059279240,,,,1756493059294187,1756493061192403,0,0,114005,1898216,1784211,58613,21,1920,1080,yolov5s,local
123,3691,,1756493061102078,,,,1756493061119451,1756493062949220,0,0,73156,1829769,1756613,58801,17,1920,1080,yolov5s,local
140,4201,,1756493062823801,,,,1756493062841232,1756493064730572,0,0,109464,1889340,1779876,58131,16,1920,1080,yolov5s,local
158,4741,,1756493064648829,,,,1756493064666828,1756493066489701,0,0,60414,1822873,1762459,58126,12,1920,1080,yolov5s,local
175,5251,,1756493066373894,,,,1756493066391884,1756493068283724,0,0,101645,1891840,1790195,60338,17,1920,1080,yolov5s,local
193,5791,,1756493068201707,,,,1756493068217748,1756493070045732,0,0,67501,1827984,1760483,57571,16,1920,1080,yolov5s,local
210,6301,,1756493069924555,,,,1756493069940974,1756493071863193,0,0,138398,1922219,1783821,56887,15,1920,1080,yolov5s,local
228,6841,,1756493071745510,,,,1756493071763300,1756493073590862,0,0,66683,1827562,1760879,58064,19,1920,1080,yolov5s,local
245,7351,,1756493073468140,,,,1756493073485680,1756493075416815,0,0,143202,1931135,1787933,56974,12,1920,1080,yolov5s,local
263,7891,,1756493075294106,,,,1756493075311466,1756493077150161,0,0,65376,1838695,1773319,57799,18,1920,1080,yolov5s,local
281,8431,,1756493077120765,,,,1756493077138924,1756493078967263,0,0,29010,1828339,1799329,58621,19,1920,1080,yolov5s,local
298,8941,,1756493078846834,,,,1756493078863755,1756493080722646,0,0,86123,1858891,1772768,57486,13,1920,1080,yolov5s,local
316,9481,,1756493080670314,,,,1756493080687963,1756493082514810,0,0,37887,1826847,1788960,57818,17,1920,1080,yolov5s,local
333,9991,,1756493082398318,,,,1756493082412898,1756493084300583,0,0,103043,1887685,1784642,56090,13,1920,1080,yolov5s,local
351,10531,,1756493084220992,,,,1756493084238607,1756493086101422,0,0,58521,1862815,1804294,58166,20,1920,1080,yolov5s,local
369,11071,,1756493086047258,,,,1756493086064984,1756493087898240,0,0,38930,1833256,1794326,59098,19,1920,1080,yolov5s,local
386,11581,,1756493087772272,,,,1756493087790079,1756493089692482,0,0,109369,1902403,1793034,60155,21,1920,1080,yolov5s,local
404,12121,,1756493089597038,,,,1756493089613864,1756493091454508,0,0,79689,1840644,1760955,57989,15,1920,1080,yolov5s,local
421,12631,,1756493091320394,,,,1756493091338235,1756493093264517,0,0,138446,1926282,1787836,56919,13,1920,1080,yolov5s,local
439,13171,,1756493093147965,,,,1756493093165958,1756493095011229,0,0,73345,1845271,1771926,57548,16,1920,1080,yolov5s,local
457,13711,,1756493094977494,,,,1756493094991066,1756493096822479,0,0,42565,1831413,1788848,57633,18,1920,1080,yolov5s,local
474,14221,,1756493096699248,,,,1756493096716950,1756493098579167,0,0,84747,1862217,1777470,58392,15,1920,1080,yolov5s,local
492,14761,,1756493098522458,,,,1756493098542664,1756493100433182,0,0,80210,1890518,1810308,58092,21,1920,1080,yolov5s,local
510,15301,,1756493100348767,,,,1756493100366548,1756493102173662,0,0,38823,1807114,1768291,58152,16,1920,1080,yolov5s,local
527,15811,,1756493102070268,,,,1756493102087830,1756493104017340,0,0,130653,1929510,1798857,59597,20,1920,1080,yolov5s,local
