sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
0,1,,1756496229951754,1756496229951909,1756496230021363,1756496230427889,1756496229747646,1756496230553463,155,406526,399136,805817,406504,129971,27,1920,1080,yolov5m,offload
1,31,,1756496230765215,1756496230765345,1756496230791940,1756496231071360,1756496230749214,1756496231168820,130,279420,140056,419606,279399,58702,29,1920,1080,yolov5m,offload
2,61,,1756496231765827,1756496231765943,1756496231789507,1756496232166309,1756496231751006,1756496232397034,116,376802,269110,646028,376780,59277,29,1920,1080,yolov5m,offload
3,91,,1756496232764547,1756496232764669,1756496232785452,1756496233157416,1756496232752999,1756496233216215,122,371964,91130,463216,371940,59805,31,1920,1080,yolov5m,offload
4,121,,1756496233771485,1756496233771611,1756496233794552,1756496234178945,1756496233754326,1756496234240446,126,384393,101601,486120,384371,59874,28,1920,1080,yolov5m,offload
5,151,,1756496234767851,1756496234767969,1756496234791211,1756496235168814,1756496234755556,1756496235190365,118,377603,57088,434809,377580,60166,27,1920,1080,yolov5m,offload
6,181,,1756496235770910,1756496235771034,1756496235792856,1756496236177484,1756496235756291,1756496236198914,124,384628,57871,442623,384605,59562,29,1920,1080,yolov5m,offload
7,211,,1756496236769428,1756496236769551,1756496236799022,1756496237184303,1756496236758040,1756496237312959,123,385281,169515,554919,385262,59839,27,1920,1080,yolov5m,offload
8,241,,1756496237775003,1756496237775126,1756496237810685,1756496238197050,1756496237759996,1756496238236105,123,386365,89621,476109,386343,59642,29,1920,1080,yolov5m,offload
9,271,,1756496238773742,1756496238773866,1756496238810365,1756496239214054,1756496238762212,1756496239257668,124,403689,91643,495456,403667,60144,29,1920,1080,yolov5m,offload
10,301,,1756496239777276,1756496239777400,1756496239816550,1756496240265295,1756496239763761,1756496240384164,124,448745,171534,620403,448726,59327,27,1920,1080,yolov5m,offload
11,331,,1756496240776912,1756496240777038,1756496240808576,1756496241212529,1756496240765154,1756496241233347,126,403953,64114,468193,403929,59211,26,1920,1080,yolov5m,offload
12,361,,1756496241780851,1756496241780974,1756496241816195,1756496242284729,1756496241766444,1756496242305925,123,468534,70824,539481,468515,59100,28,1920,1080,yolov5m,offload
13,391,,1756496242779093,1756496242779220,1756496242814730,1756496243284596,1756496242767991,1756496243305447,127,469866,67463,537456,469844,58963,24,1920,1080,yolov5m,offload
14,421,,1756496243784403,1756496243784525,1756496243816132,1756496244259880,1756496243769531,1756496244280615,122,443748,67214,511084,443727,59168,25,1920,1080,yolov5m,offload
15,451,,1756496244781674,1756496244781794,1756496244820394,1756496245264966,1756496244770667,1756496245299557,120,444572,84198,528890,444553,59162,27,1920,1080,yolov5m,offload
16,481,,1756496245789680,1756496245789804,1756496245828985,1756496246280612,1756496245771618,1756496246325935,124,451627,102566,554317,451607,58983,27,1920,1080,yolov5m,offload
17,511,,1756496246786777,1756496246786931,1756496246818499,1756496247256253,1756496246772992,1756496247347473,154,437754,136573,574481,437734,59438,27,1920,1080,yolov5m,offload
18,541,,1756496247788603,1756496247788724,1756496247826177,1756496248217528,1756496247774456,1756496248269273,121,391351,103345,494817,391327,59086,33,1920,1080,yolov5m,offload
19,571,,1756496248788448,1756496248788569,1756496248822894,1756496249316279,1756496248775370,1756496249395433,121,493385,126557,620063,493362,58911,28,1920,1080,yolov5m,offload
20,601,,1756496249790529,1756496249790649,1756496249816019,1756496250265213,1756496249776439,1756496250440451,120,449194,214698,664012,449171,60105,30,1920,1080,yolov5m,offload
21,631,,1756496250791285,1756496250791409,1756496250830993,1756496251268957,1756496250777380,1756496251341278,124,437964,125810,563898,437943,60197,28,1920,1080,yolov5m,offload
22,661,,1756496251793347,1756496251793473,1756496251832339,1756496252273811,1756496251779320,1756496252366069,126,441472,145151,586749,441447,60507,34,1920,1080,yolov5m,offload
23,691,,1756496252791782,1756496252791909,1756496252827440,1756496253221990,1756496252780953,1756496253286548,127,394550,110918,505595,394527,60306,32,1920,1080,yolov5m,offload
24,721,,1756496253796749,1756496253796869,1756496253832348,1756496254273590,1756496253782847,1756496254310734,120,441242,86525,527887,441220,60195,29,1920,1080,yolov5m,offload
25,751,,1756496254795494,1756496254795617,1756496254847961,1756496255265252,1756496254783847,1756496255335123,123,417291,133862,551276,417270,60760,27,1920,1080,yolov5m,offload
26,781,,1756496255799571,1756496255799695,1756496255835143,1756496256280881,1756496255785168,1756496256358674,124,445738,127644,573506,445716,61022,28,1920,1080,yolov5m,offload
27,811,,1756496256797703,1756496256797827,1756496256832308,1756496257280414,1756496256786677,1756496257382703,124,448106,147796,596026,448085,59928,28,1920,1080,yolov5m,offload
28,841,,1756496257801758,1756496257801886,1756496257840135,1756496258243554,1756496257787951,1756496258264316,128,403419,72818,476365,403399,60352,25,1920,1080,yolov5m,offload
29,871,,1756496258801295,1756496258801428,1756496258848247,1756496259269404,1756496258789420,1756496259430746,133,421157,220036,641326,421138,61480,30,1920,1080,yolov5m,offload
30,901,,1756496259801198,1756496259801325,1756496259838426,1756496260245302,1756496259790689,1756496260352264,127,406876,154572,561575,406857,60208,29,1920,1080,yolov5m,offload
31,931,,1756496260802953,1756496260803078,1756496260839209,1756496261321325,1756496260792306,1756496261376346,125,482116,101799,584040,482094,58654,29,1920,1080,yolov5m,offload
32,961,,1756496261807602,1756496261807726,1756496261841632,1756496262235680,1756496261793561,1756496262255506,124,394048,67773,461945,394028,58184,22,1920,1080,yolov5m,offload
33,991,,1756496262805057,1756496262805183,1756496262839475,1756496263271895,1756496262794642,1756496263321833,126,432420,94645,527191,432400,58190,26,1920,1080,yolov5m,offload
34,1021,,1756496263809788,1756496263809910,1756496263848634,1756496264256540,1756496263795916,1756496264346231,122,407906,142287,550315,407881,57897,28,1920,1080,yolov5m,offload
35,1051,,1756496264808546,1756496264808670,1756496264847357,1756496265298860,1756496264797270,1756496265319121,124,451503,70224,521851,451486,57366,20,1920,1080,yolov5m,offload
36,1081,,1756496265811983,1756496265812108,1756496265846251,1756496266266749,1756496265798427,1756496266394088,125,420498,175038,595661,420482,57664,16,1920,1080,yolov5m,offload
37,1111,,1756496266813669,1756496266813794,1756496266849636,1756496267247489,1756496266800160,1756496267267249,125,397853,69111,467089,397836,57896,18,1920,1080,yolov5m,offload
38,1141,,1756496267811854,1756496267811980,1756496267850717,1756496268247146,1756496267801353,1756496268339860,126,396429,141952,538507,396413,58015,20,1920,1080,yolov5m,offload
39,1171,,1756496268813159,1756496268813280,1756496268852366,1756496269244078,1756496268802923,1756496269363612,121,391712,168856,560689,391697,57713,20,1920,1080,yolov5m,offload
40,1201,,1756496269817849,1756496269817978,1756496269855049,1756496270302643,1756496269804407,1756496270322311,129,447594,70181,517904,447578,57794,17,1920,1080,yolov5m,offload
