sequence_id,frame_number,pi_hostname,pi_capture_start,pi_sent_to_jetson,jetson_received,jetson_sent_result,controller_sent_pulse,controller_received,pi_overhead_us,jetson_overhead_us,network_latency_us,total_latency_us,inference_us,frame_size_bytes,detection_count,image_width,image_height,model_name,experiment_mode
3,91,,1756494951505354,1756494951505480,1756494951514515,1756494951806531,1756494951496867,1756494951844220,126,292016,55211,347353,291991,59805,32,1920,1080,yolov5s,offload
10,301,,1756494951976838,1756494951976965,1756494952000606,1756494952176504,1756494951967643,1756494952239553,127,175898,95885,271910,175876,59327,31,1920,1080,yolov5s,offload
15,451,,1756494952312746,1756494952312873,1756494952325583,1756494952527039,1756494952304313,1756494952564780,127,201456,58884,260467,201435,59162,24,1920,1080,yolov5s,offload
17,511,,1756494952448373,1756494952448502,1756494952527879,1756494952727028,1756494952439817,1756494952780503,129,199149,141408,340686,199129,59438,24,1920,1080,yolov5s,offload
20,601,,1756494952651703,1756494952651829,1756494952728314,1756494952933913,1756494952641907,1756494952971679,126,205599,124047,329772,205580,60105,25,1920,1080,yolov5s,offload
23,691,,1756494952851736,1756494952851863,1756494952935257,1756494953189151,1756494952843182,1756494953226871,127,253894,129668,383689,253872,60306,29,1920,1080,yolov5s,offload
27,811,,1756494953121871,1756494953122002,1756494953190063,1756494953403620,1756494953112531,1756494953454129,131,213557,127910,341598,213537,59928,25,1920,1080,yolov5s,offload
30,901,,1756494953324418,1756494953324544,1756494953404539,1756494953654962,1756494953316016,1756494953692101,126,250423,125536,376085,250403,60208,28,1920,1080,yolov5s,offload
34,1021,,1756494953593190,1756494953593318,1756494953655871,1756494953879486,1756494953584615,1756494953924046,128,223615,115688,339431,223596,57897,21,1920,1080,yolov5s,offload
37,1111,,1756494953794045,1756494953794172,1756494953880308,1756494954102458,1756494953785534,1756494954143440,127,222150,135629,357906,222134,57896,15,1920,1080,yolov5s,offload
41,1231,,1756494954064066,1756494954064190,1756494954103719,1756494954336250,1756494954055448,1756494954373014,124,232531,84911,317566,232516,57665,14,1920,1080,yolov5s,offload
44,1321,,1756494954266923,1756494954267050,1756494954337493,1756494954572026,1756494954258658,1756494954608757,127,234533,115439,350099,234516,58178,19,1920,1080,yolov5s,offload
48,1441,,1756494954536437,1756494954536566,1756494954573381,1756494954819888,1756494954527909,1756494954857304,129,246507,82759,329395,246486,58266,22,1920,1080,yolov5s,offload
51,1531,,1756494954738358,1756494954738485,1756494954821201,1756494955046535,1756494954729937,1756494955083214,127,225334,127816,353277,225315,58738,23,1920,1080,yolov5s,offload
55,1651,,1756494955007911,1756494955008035,1756494955047829,1756494955280775,1756494954999491,1756494955321422,124,232946,88861,321931,232929,58256,20,1920,1080,yolov5s,offload
58,1741,,1756494955209900,1756494955210027,1756494955282055,1756494955497484,1756494955201631,1756494955534909,127,215429,117722,333278,215412,59515,18,1920,1080,yolov5s,offload
61,1831,,1756494955411120,1756494955411239,1756494955498862,1756494955727265,1756494955402546,1756494955763954,119,228403,132886,361408,228382,60233,24,1920,1080,yolov5s,offload
65,1951,,1756494955682478,1756494955682600,1756494955729584,1756494955964134,1756494955673737,1756494956000886,122,234550,92477,327149,234529,60710,27,1920,1080,yolov5s,offload
68,2041,,1756494955880159,1756494955880284,1756494955965029,1756494956218932,1756494955874978,1756494956255606,125,253903,126600,380628,253881,60568,28,1920,1080,yolov5s,offload
72,2161,,1756494956153833,1756494956153956,1756494956219825,1756494956468810,1756494956145796,1756494956505464,123,248985,110560,359668,248964,61253,26,1920,1080,yolov5s,offload
76,2281,,1756494956424061,1756494956424183,1756494956470111,1756494956701986,1756494956415747,1756494956739436,122,231875,91692,323689,231853,61284,31,1920,1080,yolov5s,offload
79,2371,,1756494956628161,1756494956628292,1756494956703303,1756494956924396,1756494956617899,1756494956961058,131,221093,121935,343159,221071,61969,31,1920,1080,yolov5s,offload
82,2461,,1756494956826874,1756494956827009,1756494956925511,1756494957160612,1756494956818435,1756494957197471,135,235101,143800,379036,235077,65163,34,1920,1080,yolov5s,offload
86,2581,,1756494957095825,1756494957095960,1756494957161939,1756494957399735,1756494957087477,1756494957436491,135,237796,111083,349014,237772,65367,31,1920,1080,yolov5s,offload
90,2701,,1756494957365608,1756494957365742,1756494957401111,1756494957645580,1756494957357245,1756494957683198,134,244469,81350,325953,244448,60405,30,1920,1080,yolov5s,offload
93,2791,,1756494957569443,1756494957569576,1756494957646892,1756494957906646,1756494957560915,1756494957944024,133,259754,123222,383109,259733,60241,30,1920,1080,yolov5s,offload
97,2911,,1756494957835685,1756494957835812,1756494957908066,1756494958139339,1756494957830049,1756494958175943,127,231273,114494,345894,231254,58936,25,1920,1080,yolov5s,offload
101,3031,,1756494958108442,1756494958108569,1756494958139647,1756494958305719,1756494958099895,1756494958342934,127,166072,76840,243039,166053,58688,27,1920,1080,yolov5s,offload
103,3091,,1756494958242313,1756494958242438,1756494958305989,1756494958468636,1756494958233610,1756494958506783,125,162647,110401,273173,162629,58490,21,1920,1080,yolov5s,offload
106,3181,,1756494958443433,1756494958443565,1756494958468861,1756494958632601,1756494958435084,1756494958669089,132,163740,70133,234005,163722,59082,21,1920,1080,yolov5s,offload
108,3241,,1756494958578687,1756494958578818,1756494958632924,1756494958795498,1756494958570304,1756494958833222,131,162574,100213,262918,162553,60799,30,1920,1080,yolov5s,offload
111,3331,,1756494958781064,1756494958781194,1756494958795768,1756494958960296,1756494958772540,1756494958997086,130,164528,59888,224546,164509,60710,25,1920,1080,yolov5s,offload
113,3391,,1756494958915020,1756494958915144,1756494958960677,1756494959124282,1756494958906374,1756494959162173,124,163605,92070,255799,163586,59971,22,1920,1080,yolov5s,offload
115,3451,,1756494959050468,1756494959050592,1756494959124628,1756494959288156,1756494959041772,1756494959324694,124,163528,119270,282922,163512,59288,21,1920,1080,yolov5s,offload
118,3541,,1756494959252005,1756494959252128,1756494959288535,1756494959455570,1756494959243318,1756494959492325,123,167035,81849,249007,167019,59443,21,1920,1080,yolov5s,offload
120,3601,,1756494959387592,1756494959387711,1756494959455841,1756494959621510,1756494959378368,1756494959658222,119,165669,114066,279854,165653,59830,19,1920,1080,yolov5s,offload
123,3691,,1756494959588960,1756494959589083,1756494959621787,1756494959784785,1756494959580407,1756494959821993,123,162998,78465,241586,162982,58801,17,1920,1080,yolov5s,offload
125,3751,,1756494959724313,1756494959724437,1756494959785082,1756494959947464,1756494959715687,1756494959983869,124,162382,105676,268182,162365,58055,15,1920,1080,yolov5s,offload
128,3841,,1756494959925318,1756494959925439,1756494959947726,1756494960110899,1756494959916925,1756494960148201,121,163173,67982,231276,163157,58288,18,1920,1080,yolov5s,offload
130,3901,,1756494960058798,1756494960058929,1756494960111143,1756494960271690,1756494960050352,1756494960309119,131,160547,98089,258767,160532,58065,15,1920,1080,yolov5s,offload
133,3991,,1756494960262920,1756494960263040,1756494960271914,1756494960435224,1756494960252613,1756494960472031,120,163310,55988,219418,163295,58018,17,1920,1080,yolov5s,offload
135,4051,,1756494960395900,1756494960396017,1756494960435484,1756494960598931,1756494960387261,1756494960635552,117,163447,84727,248291,163429,57876,20,1920,1080,yolov5s,offload
137,4111,,1756494960531300,1756494960531422,1756494960599164,1756494960763447,1756494960522751,1756494960799885,122,164283,112729,277134,164264,58674,24,1920,1080,yolov5s,offload
140,4201,,1756494960734096,1756494960734219,1756494960763730,1756494960928226,1756494960724662,1756494960965744,123,164496,76463,241082,164480,58131,20,1920,1080,yolov5s,offload
142,4261,,1756494960867627,1756494960867749,1756494960928550,1756494961091256,1756494960858549,1756494961127811,122,162706,106434,269262,162675,58872,16,1920,1080,yolov5s,offload
145,4351,,1756494961070441,1756494961070554,1756494961091494,1756494961256646,1756494961061875,1756494961293490,113,165152,66350,231615,165137,57984,13,1920,1080,yolov5s,offload
147,4411,,1756494961205254,1756494961205376,1756494961256916,1756494961418730,1756494961196660,1756494961456255,122,161814,97659,259595,161799,58051,14,1920,1080,yolov5s,offload
